대영역,세부영역,세부지표,방향성,비교시작연도,비교기준연도,지역,시작값,기준값,변화량,방향성기준결과,기준연도순위,실측연도수,결측연도수,비교기간실측연도수,비교기간결측연도수,급등락후보연도,단위,출처,관측기간,자료기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,충북,8.827456216131312,9.15988604661832,0.33242983048700836,개선,14,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,충남,8.131721487823642,8.155579914386303,0.02385842656266135,개선,16,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,전북,9.920682800378165,11.646699526655125,1.72601672627696,개선,8,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,전남,7.615890213528552,8.343493668168776,0.7276034546402235,개선,15,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,경북,7.489636712810483,7.81193212882755,0.32229541601706746,개선,17,9,0,9,0,2021,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,경남,9.5217037047356,11.151103649508425,1.6293999447728247,개선,10,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,제주,8.845116171054416,10.553904720989069,1.7087885499346527,개선,12,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,서울,27.9,23.6,-4.299999999999997,악화,14,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,부산,22.4,20.1,-2.299999999999997,악화,16,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
가족·생활,가사수행 격차,가사노동 공동 참여도,높을수록 양호,2020,2023,대구,20.3,24.4,4.099999999999998,개선,11,2,7,2,2,-,%,국가데이터처 MDIS 가족실태조사 총괄 원자료,2016–2024,검증 원자료 기준
