지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과
부산,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",250168.0,250168.0,0.0,0.0,양쪽존재,일치,허용
부산,"Ⅱ. 지자체
자체사업","3. 모두의 역량이 고루 발휘되는
사회(자체)",58329.0,58331.0,2.0,0.0,양쪽존재,불일치,허용
부산,"Ⅱ. 지자체
자체사업","4.인구구조
변화에 대한 적응(자체)",2329.0,2329.0,0.0,0.0,양쪽존재,일치,허용
서울,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),3260099.0,3260099.0,0.0,0.0,양쪽존재,일치,허용
서울,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",84128.0,84128.0,0.0,0.0,양쪽존재,일치,허용
서울,Ⅰ. 공통사업,"3. 모두의 역량이 고루 발휘되는
사회(공통)",458096.0,458096.0,0.0,0.0,양쪽존재,일치,허용
서울,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),104614.0,104614.0,0.0,0.0,양쪽존재,일치,허용
서울,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),483598.0,483598.0,0.0,0.0,양쪽존재,일치,허용
서울,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",165999.0,165999.0,0.0,0.0,양쪽존재,일치,허용
서울,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),303130.0,303130.0,0.0,0.0,양쪽존재,일치,허용
서울,"Ⅱ. 지자체
자체사업","4.인구구조
변화에 대한 적응(자체)",13019.0,13019.0,0.0,0.0,양쪽존재,일치,허용
세종,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",147036.0,147036.0,0.0,0.0,양쪽존재,일치,허용
세종,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",104743.0,104743.0,0.0,0.0,양쪽존재,일치,허용
세종,Ⅰ. 공통사업,"3. 모두의 역량이
고루 발휘되는 사회(공통)",2104.0,2104.0,0.0,0.0,양쪽존재,일치,허용
