지역,구조환경연도,예산연도,세부영역,구조환경지수_t,인구1인당_실질예산_t+1_원,log1p_인구1인당_실질예산_t+1
인천,2023,2024,1-1. 고용여건,74.42738575426795,8509.405794750763,9.049044904890101
전남,2016,2017,1-1. 고용여건,34.359471316463186,11523.099712671145,9.352195748776422
전남,2017,2018,1-1. 고용여건,34.117370892018776,609.4055070028473,6.414123501887032
전남,2018,2019,1-1. 고용여건,35.59390696098424,13445.498233218046,9.506473996724312
전남,2019,2020,1-1. 고용여건,39.45009124717041,20922.982001815428,9.948651244320729
전남,2020,2021,1-1. 고용여건,21.18397408830136,17601.953244420023,9.775821964928147
전남,2021,2022,1-1. 고용여건,31.603016743557134,3828.039608392433,8.250369295741482
전남,2022,2023,1-1. 고용여건,31.114019053499728,19673.948849761007,9.887101473524208
전남,2023,2024,1-1. 고용여건,45.56772286755516,21860.791952679392,9.992495732418389
전북,2016,2017,1-1. 고용여건,44.60891934686857,2464.120411766674,7.809995933870623
전북,2017,2018,1-1. 고용여건,38.96284001900104,205.1014604069974,5.3283685737859
전북,2018,2019,1-1. 고용여건,33.85894673231954,2088.1442169918423,7.644509795550803
전북,2019,2020,1-1. 고용여건,35.05819993737266,1103.0743239454953,7.006762546985387
전북,2020,2021,1-1. 고용여건,25.313380504572745,39971.96663628644,10.595958670524425
전북,2021,2022,1-1. 고용여건,47.86505723723836,41137.665119431294,10.62470371541342
전북,2022,2023,1-1. 고용여건,33.040973014917476,34548.58399112537,10.450150788345479
전북,2023,2024,1-1. 고용여건,67.99693552348305,24075.597144976964,10.088995574859544
제주,2016,2017,1-1. 고용여건,43.39637532663992,8766.795111396314,9.078840641145185
제주,2017,2018,1-1. 고용여건,53.876566358163245,4817.752226705042,8.48027029940337
제주,2018,2019,1-1. 고용여건,51.332216167545056,4897.130012372396,8.496608781131325
제주,2019,2020,1-1. 고용여건,47.16003071741051,2429.971762664134,7.796046358725888
제주,2020,2021,1-1. 고용여건,28.720146569471197,13813.375712613066,9.533465047238598
제주,2021,2022,1-1. 고용여건,36.467242943008785,13267.903147511312,9.493178467354722
제주,2022,2023,1-1. 고용여건,44.6787394185243,15102.332035344773,9.622670663052535
제주,2023,2024,1-1. 고용여건,68.7082446542402,9120.363740512674,9.11837460484039
충남,2016,2017,1-1. 고용여건,67.4923682557054,671.4850422135656,6.5109798691670235
충남,2017,2018,1-1. 고용여건,71.7318048754237,1154.1152444977938,7.05195539676429
충남,2018,2019,1-1. 고용여건,84.3077201389788,490.51405541518807,6.197490536157355
충남,2019,2020,1-1. 고용여건,80.79951873567651,1861.4240541985428,7.529634173153101
충남,2020,2021,1-1. 고용여건,53.5951680486653,20409.96699800979,9.923827633319961
충남,2021,2022,1-1. 고용여건,71.0389194056404,25242.65867948141,10.136330261755544
충남,2022,2023,1-1. 고용여건,75.58452438298386,23003.301239490705,10.043436487839658
충남,2023,2024,1-1. 고용여건,90.70356639908243,4728.130174756409,8.46149656917481
충북,2016,2017,1-1. 고용여건,65.8395502428776,4402.937609475782,8.390254330956521
충북,2017,2018,1-1. 고용여건,68.8037333074033,3191.370752045646,8.068519102215005
충북,2018,2019,1-1. 고용여건,78.56041795199486,6743.228090690793,8.816442320386573
충북,2019,2020,1-1. 고용여건,75.48478000061841,23736.650766087932,10.074817706489014
충북,2020,2021,1-1. 고용여건,50.55266500751272,25338.911585825943,10.140135964754045
충북,2021,2022,1-1. 고용여건,61.83179044519251,25758.718302087636,10.156567244680533
충북,2022,2023,1-1. 고용여건,65.27532738394268,11597.867790522389,9.358662768065539
충북,2023,2024,1-1. 고용여건,96.69666373799892,31083.27986138563,10.344457499678953
강원,2016,2017,1-2. 주거안정성,88.02802305891036,11932.249253115082,9.387083837867515
강원,2017,2018,1-2. 주거안정성,87.62740200113974,34860.51100629123,10.45913866312292
강원,2018,2019,1-2. 주거안정성,86.35916719518048,66665.57743152711,11.107459018334074
강원,2019,2020,1-2. 주거안정성,87.64560718463683,57341.395352507054,10.956795513111516
강원,2020,2021,1-2. 주거안정성,87.44301532492295,60707.18554884669,11.013833820490346
강원,2021,2022,1-2. 주거안정성,83.01881852185461,52018.10382806812,10.859366311404578
강원,2022,2023,1-2. 주거안정성,81.88132875587625,58455.83449695837,10.976043889011665
강원,2023,2024,1-2. 주거안정성,79.55274188313011,16241.634085886755,9.69539479796991
경기,2016,2017,1-2. 주거안정성,55.007375001252235,89.65519958417494,4.507063294454687
경기,2017,2018,1-2. 주거안정성,55.07922527867567,881.8836875064192,6.783193467699271
경기,2018,2019,1-2. 주거안정성,55.47926092463627,1697.3218297090627,7.437395883487304
경기,2019,2020,1-2. 주거안정성,55.682748661292074,1213.44245273318,7.102040363814596
경기,2020,2021,1-2. 주거안정성,50.864946035119026,572.8912080341405,6.3524398453143425
경기,2021,2022,1-2. 주거안정성,41.315325404904094,924.2829097886708,6.830099539170516
경기,2022,2023,1-2. 주거안정성,43.68215837782596,751.9028777603978,6.623936239083329
경기,2023,2024,1-2. 주거안정성,39.6000765326914,2456.062333671786,7.806721742029157
경남,2016,2017,1-2. 주거안정성,80.30541135600616,0.0,0.0
경남,2017,2018,1-2. 주거안정성,79.6420842314167,0.0,0.0
경남,2018,2019,1-2. 주거안정성,81.65561183954429,2439.096997426911,7.799793070540932
경남,2019,2020,1-2. 주거안정성,84.02422102121884,38966.659404161306,10.57048733504994
경남,2020,2021,1-2. 주거안정성,80.2175650951705,2714.8637549862815,7.9068653235714
경남,2021,2022,1-2. 주거안정성,77.49671282681227,1582.9692355856475,7.3676891502070045
경남,2022,2023,1-2. 주거안정성,78.64947932146569,1793.114734855199,7.492266995342507
경남,2023,2024,1-2. 주거안정성,81.9056177580957,1488.0528314510684,7.305895513217139
경북,2016,2017,1-2. 주거안정성,89.99840691826384,0.0,0.0
경북,2017,2018,1-2. 주거안정성,91.18696414170492,0.0,0.0
경북,2018,2019,1-2. 주거안정성,89.9930336169655,392.05512979324936,5.973949881403166
경북,2019,2020,1-2. 주거안정성,89.6363499880756,2692.153054894127,7.898467925542718
경북,2020,2021,1-2. 주거안정성,88.59256623537671,1034.445375167652,6.942586927312522
경북,2021,2022,1-2. 주거안정성,85.20718851714483,3026.6514604073277,8.01554250238639
경북,2022,2023,1-2. 주거안정성,81.50998041717651,61.70507883385413,4.1384424464932135
경북,2023,2024,1-2. 주거안정성,88.45988281360324,1897.7760782244025,7.548964788232731
광주,2016,2017,1-2. 주거안정성,80.05117098779796,8990.726759889183,9.104060184648777
광주,2017,2018,1-2. 주거안정성,82.58646072840226,1275.7820786276538,7.152098190434485
광주,2018,2019,1-2. 주거안정성,82.36208118676946,28785.82530376762,10.26767310672941
광주,2019,2020,1-2. 주거안정성,78.16075933317184,5316.265925521371,8.578714526457427
광주,2020,2021,1-2. 주거안정성,79.3983129602208,5450.34067271514,8.603616852399085
광주,2021,2022,1-2. 주거안정성,77.71111136759416,1810.680127193857,7.502009940773411
광주,2022,2023,1-2. 주거안정성,75.64522650528646,1457.429524867265,7.285115467857327
광주,2023,2024,1-2. 주거안정성,78.17041094393763,7970.6224412853535,8.983643319609701
대구,2016,2017,1-2. 주거안정성,75.31960441996247,0.0,0.0
대구,2017,2018,1-2. 주거안정성,74.82782332094489,154.43903461013306,5.046253594358526
대구,2018,2019,1-2. 주거안정성,74.0670840482319,146.97874927818157,4.997068677496432
대구,2019,2020,1-2. 주거안정성,71.72376784548727,293.8259455203998,5.68638516702728
대구,2020,2021,1-2. 주거안정성,67.73489830982449,333.77653826933647,5.813463259305989
대구,2021,2022,1-2. 주거안정성,62.4342812327859,8773.502074415046,9.07960530306768
대구,2022,2023,1-2. 주거안정성,67.49563499401324,4919.645791969428,8.501195059403079
대구,2023,2024,1-2. 주거안정성,73.33252108265344,8010.563417524493,8.988641204228188
대전,2016,2017,1-2. 주거안정성,70.98380199029039,1361.9397321147037,7.217399213635072
