지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,소비자물가지수,기준연도,20_39세_인구_명,실질계획예산_2020년가격_백만원,log1p_실질계획예산,20_39세_1인당_실질예산_원,log1p_20_39세_1인당_실질예산,총액기준_재정대응지수_z,재정대응지수_z,재정대응점수_0_100,실질예산_전년증감액_백만원,실질예산_전년증감률,log실질예산_전년변화,log1인당실질예산_전년변화,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도,세출예산순계액_백만원,세출예산순계액_원,예산단계,자치단체수,출처,포함회계,계획예산_총세출비율_pct,분모대안,분자분모_단위
경남,2018,1999188.0,73,73,0,0,1.122,3,0,0,3,0,,,99.158,2020=100,835415,2016164.1017366224,14.516707800522816,2413368.3280006014,14.69653439049994,0.1998580386933709,-0.5908519362796092,48.36282339399543,264739.0104470807,0.151156342205968,0.1407668771731227,0.1596416294331319,1.227,1.358,0.131,15365527.269,15365527269000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,13.01086493812268,지역통합_3개회계_순계,백만원
경남,2019,2831100.0,583,583,0,0,1.046,6,2,3,1,0,0.03,,99.467,2020=100,810243,2846270.6224174853,14.861520493140183,3512860.4905164074,15.071941502778218,0.5798382240936396,0.1575653232181942,59.78902510887967,830106.520680863,0.4117256725114047,0.3448126926173689,0.3754071122782783,1.122,1.227,0.1049999999999999,17016014.614,17016014614000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,16.637855950539088,지역통합_3개회계_순계,백만원
경남,2020,1717208.36,657,651,6,0,0.945,6,3,3,0,0,0.0,,100.0,2020=100,777994,1717208.36,14.35621106605144,2207225.7112522717,14.607247403684164,0.0229922207397214,-0.7688558147248967,45.64521073162529,-1129062.2624174852,-0.3966812760265621,-0.5053094270887453,-0.4646940990940535,1.046,1.122,0.076,18952472.124,18952472124000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,9.060603539025683,지역통합_3개회계_순계,백만원
경남,2021,3255588.1419999995,684,684,0,0,0.903,8,5,3,0,0,0.0,,102.59,2020=100,742547,3173397.155668193,14.97031354509717,4273665.041631294,15.267982574613995,0.6997270940162714,0.5483957495303796,65.75589349771636,1456188.795668193,0.8479977325920967,0.6141024790457301,0.6607351709298328,0.945,1.046,0.101,19977703.68,19977703680000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,16.2961078717932,지역통합_3개회계_순계,백만원
경남,2022,3325544.7,707,707,0,0,0.838,8,3,5,0,0,4.92,,108.06,2020=100,703314,3077498.334258745,14.939627920715376,4375710.328898252,15.291579654020076,0.6659118386867467,0.5954392415784425,66.4741137454354,-95898.82140944804,-0.0302196090515041,-0.0306856243817943,0.0235970794060786,0.903,0.945,0.0419999999999999,21459177.621,21459177621000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,15.497074299555704,지역통합_3개회계_순계,백만원
경남,2023,3893879.0,731,731,0,0,0.799,8,7,1,0,0,0.0,,111.62,2020=100,672846,3488513.707220928,15.064986618267955,5184713.451846229,15.461225326161308,0.8040558866218507,0.9336474024709516,71.63758989318072,411015.37296218285,0.1335550269472951,0.1253586975525813,0.1696456721412325,0.838,0.903,0.065,23135534.545,23135534545000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,16.830728472800885,지역통합_3개회계_순계,백만원
경남,2024,4041141.0,714,714,0,0,0.82,8,8,0,0,0,0.0,,114.24,2020=100,651410,3537413.3403361347,15.07890660589448,5430394.590712662,15.507522542058076,0.81939557565402,1.0259462276944664,73.046730291357,48899.633115206845,0.0140173257780207,0.0139199876265223,0.046297215896768,0.799,0.838,0.0389999999999999,23125498.568,23125498568000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,17.47482757233154,지역통합_3개회계_순계,백만원
경북,2016,1659180.0,417,416,1,0,1.396,5,2,3,0,0,0.11,,95.718,2020=100,647896,1733404.3753525985,14.365598456723262,2675436.143073268,14.799623342932296,0.0333370326456509,-0.3853322518077495,51.50052411021164,,,,,,,,15225641.095,15225641095000,당초예산,24,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,10.897275127185702,지역통합_3개회계_순계,백만원
경북,2017,1817693.0,405,404,1,0,1.256,5,0,0,5,0,,,97.492,2020=100,634477,1864453.4936199891,14.43847907155604,2938567.503030038,14.893433117007472,0.1136507511634756,-0.1983116767276286,54.355796070579075,131049.11826739088,0.0756021619252771,0.072880614832778,0.0938097740751757,1.396,,,15604746.586,15604746586000,당초예산,24,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,11.648333985960187,지역통합_3개회계_순계,백만원
경북,2018,2487285.0,558,558,0,1,1.167,6,0,0,6,0,,,99.158,2020=100,619667,2508405.7766393027,14.735158359225773,4047989.9311070344,15.213731249607758,0.4405883991875305,0.4402394928764115,64.10465524850191,643952.2830193136,0.3453839343394012,0.2966792876697308,0.3202981326002856,1.256,1.396,0.1399999999999999,16565209.477,16565209477000,당초예산,24,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,15.01511347292937,지역통합_3개회계_순계,백만원
