연도,지역,분모대안,예산단계,행정범위,회계범위,금액기준,분모금액_원,분모금액_백만원,출처
2020,대전,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2948766277000,2948766.277,행정안전부 지방재정365 기능별 회계별 세출예산
2020,부산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6678934971000,6678934.971,행정안전부 지방재정365 기능별 회계별 세출예산
2020,서울,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,21457489675000,21457489.675,행정안전부 지방재정365 기능별 회계별 세출예산
2020,세종,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1520953720000,1520953.72,행정안전부 지방재정365 기능별 회계별 세출예산
2020,울산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2255521411000,2255521.411,행정안전부 지방재정365 기능별 회계별 세출예산
2020,인천,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6262650593000,6262650.593,행정안전부 지방재정365 기능별 회계별 세출예산
2020,전남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2363657601000,2363657.601,행정안전부 지방재정365 기능별 회계별 세출예산
2020,전북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2045073826000,2045073.826,행정안전부 지방재정365 기능별 회계별 세출예산
2020,제주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5647320940000,5647320.94,행정안전부 지방재정365 기능별 회계별 세출예산
2020,충남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2107005225000,2107005.225,행정안전부 지방재정365 기능별 회계별 세출예산
2020,충북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1673888173000,1673888.173,행정안전부 지방재정365 기능별 회계별 세출예산
2021,강원,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2148825123000,2148825.123,행정안전부 지방재정365 기능별 회계별 세출예산
2021,경기,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,9813905900000,9813905.9,행정안전부 지방재정365 기능별 회계별 세출예산
2021,경남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3163472316000,3163472.316,행정안전부 지방재정365 기능별 회계별 세출예산
2021,경북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3042329485000,3042329.485,행정안전부 지방재정365 기능별 회계별 세출예산
