지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도,후행예산비중_증가,대응방향
대전,2020,1-2. 주거안정성,69.34322570488463,64.44560313202976,2021.0,-4.897622572854871,2022,2023.0,0.2343719335311334,0.3255221116150609,0.0911501780839275,False,True,하락 후 비중 증가
대전,2021,1-2. 주거안정성,64.44560313202976,64.31863363312482,2022.0,-0.1269694989049412,2023,2024.0,0.3255221116150609,0.6660303635875563,0.3405082519724954,False,True,하락 후 비중 증가
부산,2016,1-2. 주거안정성,79.64133253057524,73.77280913319944,2017.0,-5.868523397375796,2018,2019.0,0.0252815778437718,1.0971274797429174,1.0718459018991455,False,True,하락 후 비중 증가
부산,2019,1-2. 주거안정성,75.46201657004897,72.50203260843242,2020.0,-2.959983961616558,2021,2022.0,0.5313294102666886,0.6879662560091052,0.1566368457424166,False,True,하락 후 비중 증가
부산,2020,1-2. 주거안정성,72.50203260843242,68.8016074066189,2021.0,-3.700425201813516,2022,2023.0,0.6879662560091052,1.3281473818147542,0.640181125805649,False,True,하락 후 비중 증가
부산,2021,1-2. 주거안정성,68.8016074066189,65.94497877435974,2022.0,-2.8566286322591594,2023,2024.0,1.3281473818147542,0.6260667683634265,-0.7020806134513278,False,False,하락 후 비중 비증가
서울,2016,1-2. 주거안정성,29.359514535810344,27.073185303562425,2017.0,-2.286329232247919,2018,2019.0,3.881663882411462,0.6596065992146339,-3.222057283196828,False,False,하락 후 비중 비증가
서울,2017,1-2. 주거안정성,27.073185303562425,26.61206447690597,2018.0,-0.4611208266564546,2019,2020.0,0.6596065992146339,0.94554607648322,0.285939477268586,False,True,하락 후 비중 증가
서울,2018,1-2. 주거안정성,26.61206447690597,24.001627298898757,2019.0,-2.6104371780072135,2020,2021.0,0.94554607648322,9.287919446328988,8.342373369845768,False,True,하락 후 비중 증가
서울,2019,1-2. 주거안정성,24.001627298898757,22.223662376868432,2020.0,-1.7779649220303249,2021,2022.0,9.287919446328988,11.644114119529034,2.3561946732000454,False,True,하락 후 비중 증가
서울,2020,1-2. 주거안정성,22.223662376868432,2.2364196527922076,2021.0,-19.987242724076225,2022,2023.0,11.644114119529034,8.538022724058273,-3.106091395470761,False,False,하락 후 비중 비증가
세종,2018,1-2. 주거안정성,68.20612630240582,63.67437818487245,2019.0,-4.531748117533368,2020,2021.0,0.0205384905642353,0.0108283086181938,-0.0097101819460415,False,False,하락 후 비중 비증가
