분모대안,지역,연도,주기준_비율_pct,계획예산_총세출비율_pct,주기준_순위,순위,순위차,절대순위차,100pct_초과
광역본청_3개회계_순계,경북,2017,11.648333985960187,73.8616165155581,15.0,5.0,-10.0,10.0,False
광역본청_3개회계_순계,경남,2016,10.559678134180112,52.72799980690493,15.0,6.0,-9.0,9.0,False
광역본청_3개회계_순계,경북,2016,10.897275127185702,59.09057108832787,13.0,4.0,-9.0,9.0,False
광역본청_3개회계_순계,제주,2018,46.23473275014437,46.23473275014437,2.0,11.0,9.0,9.0,False
광역본청_3개회계_순계,경북,2019,12.700895642355198,81.75853503257126,14.0,5.0,-9.0,9.0,False
광역본청_3개회계_순계,광주,2019,20.419502512771267,39.26364557321568,1.0,10.0,9.0,9.0,False
광역본청_3개회계_순계,전남,2020,11.522673616767532,77.8745618325283,14.0,5.0,-9.0,9.0,False
광역본청_3개회계_순계,대구,2021,21.372877266254054,42.26820533453699,4.0,13.0,9.0,9.0,False
광역본청_3개회계_순계,경북,2023,14.093926899323714,95.6267836265634,15.0,6.0,-9.0,9.0,False
광역본청_3개회계_순계,세종,2024,18.35939990852272,18.35939990852272,7.0,16.0,9.0,9.0,False
광역본청_3개회계_순계,대전,2016,17.664120431091114,32.590987093373,2.0,10.0,8.0,8.0,False
광역본청_3개회계_순계,경남,2017,12.009264105010567,71.03621347415111,14.0,6.0,-8.0,8.0,False
광역본청_3개회계_순계,광주,2017,29.376730813174746,55.16904548112848,3.0,11.0,8.0,8.0,False
광역본청_3개회계_순계,대전,2017,23.189187980349026,45.9880079682744,4.0,12.0,8.0,8.0,False
광역본청_3개회계_순계,전남,2017,11.573158545471102,66.61476231744324,16.0,8.0,-8.0,8.0,False
광역본청_3개회계_순계,경남,2018,13.01086493812268,80.4287635164442,13.0,5.0,-8.0,8.0,False
광역본청_3개회계_순계,경북,2018,15.01511347292937,95.90112092715344,10.0,2.0,-8.0,8.0,False
광역본청_3개회계_순계,대구,2018,17.518604073326863,33.08445698007343,7.0,15.0,8.0,8.0,False
