지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도
전남,2016,2-3. 가사수행 격차,19.330248295765543,19.330248295765543,2017.0,0.0,2018,2019.0,0.0019422826433981,0.0015581066666839,-0.0003841759767142,False
전남,2017,2-3. 가사수행 격차,19.330248295765543,19.330248295765543,2018.0,0.0,2019,2020.0,0.0015581066666839,0.0046178385473257,0.0030597318806418004,False
전남,2018,2-3. 가사수행 격차,19.330248295765543,19.330248295765543,2019.0,0.0,2020,2021.0,0.0046178385473257,0.0022376001632471,-0.0023802383840786003,False
전남,2019,2-3. 가사수행 격차,19.330248295765543,19.330248295765543,2020.0,0.0,2021,2022.0,0.0022376001632471,0.0010181958684799,-0.0012194042947672001,False
전남,2020,2-3. 가사수행 격차,19.330248295765543,26.087724536000405,2021.0,6.757476240234862,2022,2023.0,0.0010181958684799,0.0006636754568022,-0.00035452041167769995,False
전남,2021,2-3. 가사수행 격차,26.087724536000405,32.84520077623526,2022.0,6.757476240234855,2023,2024.0,0.0006636754568022,0.0,-0.0006636754568022,False
전북,2016,2-3. 가사수행 격차,24.766134248892875,24.766134248892875,2017.0,0.0,2018,2019.0,0.000920677213331,0.001047779806978,0.00012710259364700008,False
전북,2017,2-3. 가사수행 격차,24.766134248892875,24.766134248892875,2018.0,0.0,2019,2020.0,0.001047779806978,0.0019817667549708,0.0009339869479928001,False
전북,2018,2-3. 가사수행 격차,24.766134248892875,24.766134248892875,2019.0,0.0,2020,2021.0,0.0019817667549708,0.0013636121911309,-0.0006181545638399002,False
전북,2019,2-3. 가사수행 격차,24.766134248892875,24.766134248892875,2020.0,0.0,2021,2022.0,0.0013636121911309,0.0011807327556637,-0.0001828794354672,False
전북,2020,2-3. 가사수행 격차,24.766134248892875,41.83941218423977,2021.0,17.073277935346894,2022,2023.0,0.0011807327556637,0.0007420271960387,-0.00043870555962499994,False
전북,2021,2-3. 가사수행 격차,41.83941218423977,58.91269011958668,2022.0,17.07327793534691,2023,2024.0,0.0007420271960387,0.0006636986528663,-7.832854317239997e-05,False
제주,2016,2-3. 가사수행 격차,46.03498034532516,46.03498034532516,2017.0,0.0,2018,2019.0,0.0045209918694482,0.0130607980147587,0.0085398061453105,False
제주,2017,2-3. 가사수행 격차,46.03498034532516,46.03498034532516,2018.0,0.0,2019,2020.0,0.0130607980147587,0.0110234677379844,-0.0020373302767743,False
제주,2018,2-3. 가사수행 격차,46.03498034532516,46.03498034532516,2019.0,0.0,2020,2021.0,0.0110234677379844,0.0,-0.0110234677379844,False
