지역,세부영역,2016_비중_pct,2024_비중_pct,2016-2018_합계기준_비중_pct,2022-2024_합계기준_비중_pct,2016→2024_비중변화_pp,3개년구간_비중변화_pp,예산누락주의
광주,4-2. 사회적 가치관,0.006623208138670744,0.00370675685367255,0.006745431320977472,0.006505366552672859,-0.0029164512849981943,-0.00024006476830461254,False
광주,지표체계 외,66.81418879899371,72.0139051731015,79.3664513316611,72.4945757384303,5.199716374107794,-6.871875593230797,True
대구,1-1. 고용여건,2.1799582237071427,3.6365417306513486,1.8372281381592792,4.495526311973416,1.456583506944206,2.6582981738141367,True
대구,1-2. 주거안정성,0.0,0.6647385247116038,0.010373781493268123,0.6192802314312914,0.6647385247116038,0.6089064499380232,False
대구,1-3. 경제적 여건,2.426536466469232,12.966859972376874,1.5242857297790242,10.859611677607912,10.540323505907642,9.335325947828888,False
대구,2-1. 돌봄 여건,9.588795278091201,27.548661710794153,26.12124152788197,29.585337809892646,17.959866432702952,3.4640962820106758,False
대구,2-2. 여가 인프라,1.496897761689229,0.2621879847124885,0.825655556189509,0.22847159640964707,-1.2347097769767403,-0.5971839597798619,False
대구,2-3. 가사수행 격차,0.19429332741201288,0.0014043277167246303,0.0806954457370281,0.0005205493679725061,-0.19288899969528825,-0.08017489636905559,False
대구,3-1. 의료서비스 여건,1.547504395805846,0.3225740765316476,0.7619511071103942,0.22658770345888943,-1.2249303192741985,-0.5353634036515047,True
대구,3-2. 산후조리 여건,0.34107838606148705,0.3294903905365164,0.28002922891524984,0.30339352329997565,-0.01158799552497064,0.023364294384725814,False
대구,3-3. 아동안전 수준,0.024270528606949116,0.04550021802187802,1.189363478913639,0.03746716046144966,0.021229689414928907,-1.1518963184521893,False
대구,4-1. 일·가정 양립 여건,0.02465782427620894,0.014429467289345577,0.026563167763065346,0.015033961508348806,-0.010228356986863363,-0.01152920625471654,False
대구,4-2. 사회적 가치관,0.054350492252795625,0.005125796166044901,0.0374399204802495,0.009078628858091922,-0.04922469608675072,-0.02836129162215758,False
대구,지표체계 외,82.1216573156279,54.202485800491374,67.30517291757732,53.61969084573036,-27.919171515136526,-13.685482071846963,True
대전,1-1. 고용여건,2.1703988601177935,0.4623139559161273,1.8701123225404677,0.6669696997042915,-1.7080849042016661,-1.2031426228361761,False
대전,1-2. 주거안정성,6.524585404490471,0.6660303635875563,1.889677412909236,0.4241810907975524,-5.858555040902915,-1.4654963221116835,False
대전,1-3. 경제적 여건,9.403887268919465,18.53252602380171,5.138859917585936,15.618711002747412,9.128638754882246,10.479851085161476,False
대전,2-1. 돌봄 여건,42.802943286350306,32.109464014078206,47.926618876883595,30.843754858016847,-10.6934792722721,-17.082864018866747,False
대전,2-2. 여가 인프라,1.6929111108918788,0.5398633936827035,1.1056735885963302,0.5911712823968848,-1.1530477172091753,-0.5145023061994455,False
