시차,세부영역,군집,계수,군집표준오차,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,추정가능,추정불가사유,FDR_q값,FDR_0.05_유의
t+1,2-2. 여가 인프라,2,-0.06058346671607745,0.0069722173776536524,1.8677142845890238e-07,-0.07536390728228795,-0.04580302614986695,102,17,6,True,,5.136214282619815e-07,True
t+1,2-2. 여가 인프라,3,0.004436007803080375,0.004682073248562699,0.3575029720823806,-0.005489544087889766,0.014361559694050516,102,17,6,True,,0.7285654809245726,False
t+1,2-3. 가사수행 격차,1,0.0018033836296999575,0.004572713878941867,0.6985079894953536,-0.007890336754091485,0.0114971040134914,102,17,6,True,,0.978646441292218,False
t+1,2-3. 가사수행 격차,2,0.06862016437373847,0.002762189896419711,3.302899719620447e-14,0.06276458337486292,0.07447574537261402,102,17,6,True,,3.633189691582492e-13,True
t+1,2-3. 가사수행 격차,3,0.013384634996295455,0.005178356920968194,0.019949801426716617,0.00240700871827592,0.02436226127431499,102,17,6,True,,0.21944781569388278,False
t+1,3-1. 의료서비스 여건,1,0.0037548698434402353,0.007371267515073987,0.6174303287084638,-0.011871519223742598,0.01938125891062307,102,17,6,True,,0.978646441292218,False
t+1,3-1. 의료서비스 여건,2,-0.03765564469560661,0.026156148893096247,0.1692455996616824,-0.0931042033413015,0.01779291395008828,102,17,6,True,,0.18617015962785063,False
t+1,3-1. 의료서비스 여건,3,0.0060613475381638485,0.007831727767119644,0.4502469766407512,-0.010541173657411328,0.022663868733739025,102,17,6,True,,0.7285654809245726,False
t+1,3-2. 산후조리 여건,1,0.02979021523936347,0.024544192399653775,0.24246095075418858,-0.02224114829376861,0.08182157877249555,102,17,6,True,,0.8890234860986915,False
t+1,3-2. 산후조리 여건,2,0.18078190282155626,0.05210508187067255,0.0031602921722194777,0.07032406364756019,0.29123974199555236,102,17,6,True,,0.004966173413487751,True
t+1,3-2. 산후조리 여건,3,0.01580058127619257,0.013478789760973445,0.25825399375912916,-0.012773176565184223,0.04437433911756936,102,17,6,True,,0.7285654809245726,False
