지역,연도,전체_인구1인당_실질예산_3개년평균,합계출산율_t+1,합계출산율_t+2,세부영역수,log1p_전체_3개년평균예산,군집_2개,군집_3개
대전,2019,359721.5723923734,0.805,0.81,11,12.793088381099217,2,2
대전,2020,387442.3955333653,0.81,0.842,11,12.867325041062466,2,2
대전,2021,428370.00983720267,0.842,0.787,11,12.967744944484453,2,2
대전,2022,561554.9458088251,0.787,0.792,11,13.238466684544237,2,2
대전,2023,492775.14690712304,0.792,,11,13.10781028683826,2,2
대전,2024,511250.04529944377,,,11,13.144616030932548,2,2
부산,2016,,0.976,0.899,11,,1,1
부산,2017,,0.899,0.827,11,,1,1
부산,2018,496231.1536110691,0.827,0.747,11,13.114799147840285,1,1
부산,2019,533113.6328774127,0.747,0.728,11,13.18649175108808,1,1
부산,2020,462935.6995314741,0.728,0.723,11,13.045345605647034,1,1
부산,2021,482738.2623616142,0.723,0.664,11,13.087231957395257,1,1
부산,2022,564026.4759642882,0.664,0.683,11,13.242858245542337,1,1
부산,2023,556698.1704448451,0.683,,11,13.229780284040878,1,1
부산,2024,583237.2188842336,,,11,13.276350990595633,1,1
서울,2016,,0.836,0.761,11,,1,1
서울,2017,,0.761,0.717,11,,1,1
서울,2018,349004.6986275698,0.717,0.642,11,12.762843529497015,1,1
서울,2019,388696.6789373993,0.642,0.626,11,12.87055714547543,1,1
서울,2020,413193.7103743648,0.626,0.593,11,12.931674214534752,1,1
서울,2021,417290.663220686,0.593,0.552,11,12.941540688476143,1,1
서울,2022,438582.31762084947,0.552,0.581,11,12.991305078722377,1,1
서울,2023,455432.45995798573,0.581,,11,13.029004903689579,1,1
서울,2024,471444.5224818293,,,11,13.063558833514604,1,1
세종,2016,,1.668,1.566,11,,2,2
세종,2017,,1.566,1.472,11,,2,2
세종,2018,244997.29333098588,1.472,1.277,11,12.409006523506626,2,2
세종,2019,281449.37535630446,1.277,1.277,11,12.547711424543103,2,2
세종,2020,344868.76586511923,1.277,1.121,11,12.750922134500087,2,2
세종,2021,337457.56897432427,1.121,0.971,11,12.729198023164674,2,2
세종,2022,348957.3239887198,0.971,1.028,11,12.762707778548863,2,2
세종,2023,405083.1904206835,1.028,,11,12.91185020206706,2,2
세종,2024,481669.98421599215,,,11,13.085016554590611,2,2
울산,2016,,1.261,1.131,11,,1,1
울산,2017,,1.131,1.084,11,,1,1
울산,2018,951189.8629393401,1.084,0.984,11,13.765470018487656,1,1
울산,2019,919866.8727681509,0.984,0.94,11,13.73198532215502,1,1
울산,2020,464444.899142441,0.94,0.848,11,13.048600359284688,1,1
울산,2021,446974.8080991787,0.848,0.814,11,13.010259751547641,1,1
울산,2022,528504.3134952544,0.814,0.859,11,13.177808138159117,1,1
울산,2023,576754.444592099,0.859,,11,13.265173616116451,1,1
울산,2024,590992.4434767729,,,11,13.289560202378766,1,1
인천,2016,,1.007,1.006,11,,1,1
인천,2017,,1.006,0.94,11,,1,1
인천,2018,241863.7428034481,0.94,0.829,11,12.396133934852813,1,1
인천,2019,332143.29288455273,0.829,0.778,11,12.713324770602107,1,1
인천,2020,472384.6393552579,0.778,0.747,11,13.06555096351063,1,1
인천,2021,610629.2124389834,0.747,0.694,11,13.322246837978547,1,1
인천,2022,789414.4620838054,0.694,0.762,11,13.579048029153345,1,1
인천,2023,876439.8377564343,0.762,,11,13.683624482784008,1,1
인천,2024,943144.038711833,,,11,13.756975355421629,1,1
전남,2016,,1.325,1.24,11,,2,3
전남,2017,,1.24,1.234,11,,2,3
전남,2018,391597.6025810721,1.234,1.145,11,12.87799262114661,2,3
전남,2019,225586.00531437274,1.145,1.017,11,12.326461196390207,2,3
전남,2020,201534.73080352714,1.017,0.969,11,12.2137219687358,2,3
전남,2021,136698.4795915047,0.969,0.972,11,11.825540215766278,2,3
전남,2022,187599.1283091117,0.972,1.028,11,12.142067999504516,2,3
전남,2023,268450.9677404926,1.028,,11,12.500427285831273,2,3
전남,2024,316717.9991188953,,,11,12.665770221630082,2,3
전북,2016,,1.151,1.044,11,,2,3
전북,2017,,1.044,0.971,11,,2,3
전북,2018,417868.0491379208,0.971,0.909,11,12.942923382850244,2,3
전북,2019,440605.03266450437,0.909,0.85,11,12.995906405186979,2,3
전북,2020,456571.1328512479,0.85,0.817,11,13.031501979352079,2,3
전북,2021,455684.74776984105,0.817,0.78,11,13.029558701296223,2,3
전북,2022,484856.26966799365,0.78,0.808,11,13.09160983726367,2,3
전북,2023,510305.3281560956,0.808,,11,13.142766467829759,2,3
전북,2024,564039.6386841426,,,11,13.242881582288911,2,3
제주,2016,,1.305,1.22,11,,2,3
제주,2017,,1.22,1.145,11,,2,3
제주,2018,1541520.8297382835,1.145,1.021,11,14.248280687569267,2,3
제주,2019,1551345.3259684262,1.021,0.951,11,14.254633709281991,2,3
제주,2020,1625550.1326573917,0.951,0.919,11,14.301357474803106,2,3
제주,2021,713795.7091096832,0.919,0.827,11,13.478353479646065,2,3
제주,2022,748830.4919269278,0.827,0.826,11,13.526269259787515,2,3
제주,2023,755510.7149192084,0.826,,11,13.535150566755,2,3
제주,2024,835446.1878498431,,,11,13.635722414786153,2,3
충남,2016,,1.276,1.186,11,,2,3
충남,2017,,1.186,1.112,11,,2,3
충남,2018,337744.72458981385,1.112,1.029,11,12.730048597236964,2,3
충남,2019,365082.2420295144,1.029,0.963,11,12.807880666917653,2,3
충남,2020,428119.6383785058,0.963,0.909,11,12.967160300217694,2,3
충남,2021,475116.91351636214,0.909,0.842,11,13.071318291192396,2,3
충남,2022,487152.81254735345,0.842,0.883,11,13.096335189051649,2,3
충남,2023,479196.1151060265,0.883,,11,13.07986730553576,2,3
충남,2024,498319.7624230719,,,11,13.118999249913756,2,3
충북,2016,,1.235,1.172,11,,2,3
충북,2017,,1.172,1.05,11,,2,3
충북,2018,383978.92035784555,1.05,0.983,11,12.858345539467878,2,3
충북,2019,422336.5914715756,0.983,0.949,11,12.95356025299533,2,3
충북,2020,460888.4189683769,0.949,0.871,11,13.040913421118924,2,3
충북,2021,563064.0987726675,0.871,0.886,11,13.241150528808017,2,3
충북,2022,602952.33568393,0.886,0.882,11,13.30959508578931,2,3
충북,2023,577256.9988515789,0.882,,11,13.266044583944607,2,3
충북,2024,577302.6263987811,,,11,13.26612362268317,2,3
