지역,연도,세부영역,합계출산율,세부영역_재정대응지수_z_전년도,세부영역_재정대응지수_z_전전년도
경기,2018,1-3. 경제적 여건,1.002,-1.7458022429817168,-4.293228340527562
경기,2019,1-3. 경제적 여건,0.943,-0.5342151718655269,-1.7458022429817168
경기,2020,1-3. 경제적 여건,0.878,0.2999107718557714,-0.5342151718655269
경기,2021,1-3. 경제적 여건,0.853,0.5700729696042414,0.2999107718557714
경기,2022,1-3. 경제적 여건,0.839,-0.1765063756777898,0.5700729696042414
경기,2023,1-3. 경제적 여건,0.766,0.8340636727897895,-0.1765063756777898
경기,2024,1-3. 경제적 여건,0.789,0.9935907372427192,0.8340636727897895
경기,2016,2-1. 돌봄 여건,1.194,,
경기,2017,2-1. 돌봄 여건,1.069,-0.4817568094371792,
경기,2018,2-1. 돌봄 여건,1.002,-0.1815080098899676,-0.4817568094371792
경기,2019,2-1. 돌봄 여건,0.943,0.2276692632447683,-0.1815080098899676
경기,2020,2-1. 돌봄 여건,0.878,0.2826883670986607,0.2276692632447683
경기,2021,2-1. 돌봄 여건,0.853,0.4073933371147807,0.2826883670986607
경기,2022,2-1. 돌봄 여건,0.839,0.4312579060077251,0.4073933371147807
경기,2023,2-1. 돌봄 여건,0.766,-1.063207329239189,0.4312579060077251
경기,2024,2-1. 돌봄 여건,0.789,-0.5616138658455876,-1.063207329239189
경기,2016,2-2. 여가 인프라,1.194,,
경기,2017,2-2. 여가 인프라,1.069,-2.5227714489266884,
경기,2018,2-2. 여가 인프라,1.002,-2.0441280712896357,-2.5227714489266884
경기,2019,2-2. 여가 인프라,0.943,-0.4132965203898976,-2.0441280712896357
경기,2020,2-2. 여가 인프라,0.878,-0.1196086618980534,-0.4132965203898976
경기,2021,2-2. 여가 인프라,0.853,-0.140290110532148,-0.1196086618980534
경기,2022,2-2. 여가 인프라,0.839,0.2128706560194022,-0.140290110532148
경기,2023,2-2. 여가 인프라,0.766,0.3137277898361165,0.2128706560194022
경기,2024,2-2. 여가 인프라,0.789,0.3689249597331325,0.3137277898361165
경기,2016,2-3. 가사수행 격차,1.194,,
경기,2017,2-3. 가사수행 격차,1.069,-0.931640529002546,
경기,2018,2-3. 가사수행 격차,1.002,-0.931640529002546,-0.931640529002546
경기,2019,2-3. 가사수행 격차,0.943,-0.259734355257406,-0.931640529002546
경기,2020,2-3. 가사수행 격차,0.878,0.0138144007451181,-0.259734355257406
경기,2021,2-3. 가사수행 격차,0.853,1.5311586268679285,0.0138144007451181
경기,2022,2-3. 가사수행 격차,0.839,1.3457571850198018,1.5311586268679285
경기,2023,2-3. 가사수행 격차,0.766,1.3836917223630902,1.3457571850198018
경기,2024,2-3. 가사수행 격차,0.789,1.336330167769412,1.3836917223630902
경기,2016,3-1. 의료서비스 여건,1.194,,
경기,2017,3-1. 의료서비스 여건,1.069,1.0021112925689797,
경기,2018,3-1. 의료서비스 여건,1.002,-0.0979612804937234,1.0021112925689797
경기,2019,3-1. 의료서비스 여건,0.943,-0.3325627866054305,-0.0979612804937234
경기,2020,3-1. 의료서비스 여건,0.878,-1.2846831631105002,-0.3325627866054305
경기,2021,3-1. 의료서비스 여건,0.853,0.7529190178263193,-1.2846831631105002
경기,2022,3-1. 의료서비스 여건,0.839,-0.744183736979751,0.7529190178263193
경기,2023,3-1. 의료서비스 여건,0.766,-0.830035573299335,-0.744183736979751
경기,2024,3-1. 의료서비스 여건,0.789,-0.7064241796388082,-0.830035573299335
경기,2016,3-2. 산후조리 여건,1.194,,
경기,2017,3-2. 산후조리 여건,1.069,-0.8169495637363179,
경기,2018,3-2. 산후조리 여건,1.002,-0.8161688884409333,-0.8169495637363179
경기,2019,3-2. 산후조리 여건,0.943,-2.341465536177255,-0.8161688884409333
경기,2020,3-2. 산후조리 여건,0.878,0.8955312086754462,-2.341465536177255
경기,2021,3-2. 산후조리 여건,0.853,0.9484303295103442,0.8955312086754462
경기,2022,3-2. 산후조리 여건,0.839,0.8728760537264731,0.9484303295103442
경기,2023,3-2. 산후조리 여건,0.766,0.7939425834919374,0.8728760537264731
경기,2024,3-2. 산후조리 여건,0.789,0.7841146945178457,0.7939425834919374
경기,2016,3-3. 아동안전 수준,1.194,,
경기,2017,3-3. 아동안전 수준,1.069,-0.2337780249825931,
경기,2018,3-3. 아동안전 수준,1.002,-0.5760422410846583,-0.2337780249825931
경기,2019,3-3. 아동안전 수준,0.943,-0.2784018721014551,-0.5760422410846583
경기,2020,3-3. 아동안전 수준,0.878,-0.0609203312629439,-0.2784018721014551
경기,2021,3-3. 아동안전 수준,0.853,-0.270704487049554,-0.0609203312629439
경기,2022,3-3. 아동안전 수준,0.839,-0.0357371182045693,-0.270704487049554
경기,2023,3-3. 아동안전 수준,0.766,0.0405238664247172,-0.0357371182045693
경기,2024,3-3. 아동안전 수준,0.789,0.0698865085817661,0.0405238664247172
경기,2016,4-1. 일·가정 양립 여건,1.194,,
경기,2017,4-1. 일·가정 양립 여건,1.069,-0.8464633663383923,
경기,2018,4-1. 일·가정 양립 여건,1.002,-0.8144960033002886,-0.8464633663383923
경기,2019,4-1. 일·가정 양립 여건,0.943,0.2853489370439753,-0.8144960033002886
경기,2020,4-1. 일·가정 양립 여건,0.878,-0.2718219067170319,0.2853489370439753
경기,2021,4-1. 일·가정 양립 여건,0.853,-0.2996012905207831,-0.2718219067170319
경기,2022,4-1. 일·가정 양립 여건,0.839,0.2156757909071511,-0.2996012905207831
경기,2023,4-1. 일·가정 양립 여건,0.766,-0.2901690858157632,0.2156757909071511
경기,2024,4-1. 일·가정 양립 여건,0.789,0.1074249444801919,-0.2901690858157632
경기,2016,4-2. 사회적 가치관,1.194,,
경기,2017,4-2. 사회적 가치관,1.069,-1.1060064294175858,
경기,2018,4-2. 사회적 가치관,1.002,-1.8154284387027544,-1.1060064294175858
경기,2019,4-2. 사회적 가치관,0.943,-0.3454469116303728,-1.8154284387027544
경기,2020,4-2. 사회적 가치관,0.878,-0.4496404817022356,-0.3454469116303728
경기,2021,4-2. 사회적 가치관,0.853,2.1549900579223817,-0.4496404817022356
