시차,세부영역,군집쌍,계수차이,군집표준오차,p값,95%신뢰구간_하한,95%신뢰구간_상한,FDR_q값,FDR_0.05_유의
t+2,3-2. 산후조리 여건,2-1,0.1159502023430253,0.03019586252663388,0.0014456765862532,0.05193783335825765,0.17996257132779298,0.0028199084216160063,True
t+2,3-2. 산후조리 여건,3-1,-0.010138352221555388,0.016839334426305995,0.5555683274948666,-0.04583614650724037,0.025559442064129592,0.7550187145282907,False
t+2,3-2. 산후조리 여건,3-2,-0.12608855456458068,0.03411131111221487,0.0019572500356380713,-0.19840130375474985,-0.05377580537441151,0.007176583464006262,True
t+2,3-3. 아동안전 수준,2-1,0.04934589229885769,0.006253778065821079,6.627317549475209e-07,0.036088475036969936,0.06260330956074545,3.645024652211365e-06,True
t+2,3-3. 아동안전 수준,3-1,0.00497293232249113,0.009771214160455111,0.6177425846140561,-0.015741116356083423,0.025686981001065683,0.7550187145282907,False
t+2,3-3. 아동안전 수준,3-2,-0.04437295997636656,0.00848750456673188,8.287141909956643e-05,-0.062365665884546076,-0.02638025406818705,0.0004557928050476153,True
t+2,4-1. 일·가정 양립 여건,2-1,-0.03090133659771996,0.013625286150049569,0.03753353239805362,-0.05978565291061601,-0.0020170202848239123,0.05160860704732372,False
t+2,4-1. 일·가정 양립 여건,3-1,-0.01345058780837008,0.017151179127761786,0.444357330064628,-0.049809463329205265,0.022908287712465107,0.6982758043872727,False
t+2,4-1. 일·가정 양립 여건,3-2,0.01745074878934988,0.005655916191819606,0.007093512931089258,0.0054607420823602,0.02944075549633956,0.013004773706996974,True
t+2,4-2. 사회적 가치관,2-1,-0.02947679157679378,0.007767178414224536,0.001589260696932773,-0.04594247425710532,-0.013011108896482246,0.0028199084216160063,True
t+2,4-2. 사회적 가치관,3-1,-0.014080391655761346,0.014545406997268008,0.3474354671265599,-0.04491527702859971,0.01675449371707702,0.63696502306536,False
t+2,4-2. 사회적 가치관,3-2,0.015396399921032436,0.01620512803464057,0.3561961807748,-0.018956936874161022,0.049749736716225894,0.43643683236733366,False
