시차,세부영역,군집1_계수,군집1_군집표준오차,군집1_p값,군집1_95%신뢰구간_하한,군집1_95%신뢰구간_상한,군집2_계수,군집2_군집표준오차,군집2_p값,군집2_95%신뢰구간_하한,군집2_95%신뢰구간_상한,군집간_계수차,군집간_차이_표준오차,군집간_차이_p값,관측치,지역수,연도수,추정가능,추정불가사유,FDR_q값,FDR_0.05_유의
t+1,4-2. 사회적 가치관,-0.0002868834567093456,0.009818982926368442,0.9770526805178708,-0.02110219739528083,0.020528430481862137,-0.005185673816352439,0.01690372424787833,0.7629695297494602,-0.04101996842600453,0.03064862079329965,-0.004898790359643093,0.019920501846521926,0.8088733066399066,102,17,6,True,,0.8897606373038973,False
t+2,1-1. 고용여건,0.013932904802950438,0.009558403488415128,0.1642822657937691,-0.0063300054042357175,0.03419581501013659,-0.006316685041067926,0.009412459325333482,0.5117307514233679,-0.02627020744354689,0.013636837361411039,-0.020249589844018364,0.010172370120319334,0.06388335287503971,85,17,5,True,,0.23423896054181229,False
t+2,1-2. 주거안정성,0.0023624219864823714,0.005385641576227653,0.6667792111359466,-0.009054628130668941,0.013779472103633684,0.005383050810229488,0.008853405298223347,0.5517077504466192,-0.013385329997627718,0.024151431618086694,0.0030206288237471166,0.006862300230106762,0.6656971344363862,85,17,5,True,,0.7322668478800248,False
t+2,1-3. 경제적 여건,0.004351808986152894,0.013234168326567491,0.7465479566893418,-0.02370337458012361,0.0324069925524294,-0.01824314984422326,0.014839473448858553,0.2367075580623939,-0.049701428246111616,0.013215128557665094,-0.022594958830376155,0.01396492060872015,0.12520847113563335,85,17,5,True,,0.27545863649839336,False
t+2,2-1. 돌봄 여건,0.02713241243192807,0.014658471820882955,0.08272330518444414,-0.003942159659647136,0.05820698452350328,0.05750149716975492,0.008531620121491279,4.749654090956362e-06,0.039415270463262875,0.07558772387624696,0.030369084737826846,0.018332573249923267,0.11708391935785514,85,17,5,True,,0.27545863649839336,False
t+2,2-2. 여가 인프라,0.009601912057445927,0.005992142063021474,0.1286191803058654,-0.0031008616556398774,0.022304685770531733,-0.010475833719405026,0.013983564141123138,0.4646372116481082,-0.04011966544417228,0.019167998005362227,-0.020077745776850953,0.01603051356104824,0.22839664784147454,85,17,5,True,,0.34250100408347905,False
t+2,2-3. 가사수행 격차,-0.0006694848878125992,0.005491846179300812,0.9044920233199231,-0.012311678705820391,0.010972708930195193,0.03740045305442717,0.007691064504449623,0.00017275331256619793,0.021096124654791923,0.05370478145406242,0.03806993794223977,0.009269949701729011,0.0008246910712584184,85,17,5,True,,0.009071601783842602,True
t+2,3-1. 의료서비스 여건,0.005936421583204954,0.010329274993621273,0.5734749443865503,-0.015960663212886375,0.027833506379296283,-0.009370421534734386,0.018012989830701136,0.6100449284302992,-0.047556254131656296,0.028815411062187525,-0.01530684311793934,0.021092119600909693,0.47849587105019736,85,17,5,True,,0.5848282868391301,False
t+2,3-2. 산후조리 여건,0.028487115411538907,0.020553522282027562,0.18476240115002077,-0.015084405391793454,0.07205863621487127,0.03260406043986043,0.0178158322026753,0.0859341631528072,-0.005163816656627615,0.07037193753634848,0.0041169450283215225,0.02020084955023918,0.8410788823602597,85,17,5,True,,0.8410788823602597,False
t+2,3-3. 아동안전 수준,0.0004994066368509686,0.0051863762072662965,0.9244844472325674,-0.010495219768687886,0.011494033042389823,0.018374420223470606,0.013791520828060585,0.20142816986257447,-0.010862297864255334,0.047611138311196545,0.017875013586619637,0.014944705289804208,0.24909163933343934,85,17,5,True,,0.34250100408347905,False
t+2,4-1. 일·가정 양립 여건,0.018433839075910896,0.016273230569744127,0.274000882524191,-0.016063868644338994,0.052931546796160786,-0.009054727658818984,0.005717721719558905,0.13284282279047632,-0.02117575623158437,0.003066300913946402,-0.02748856673472988,0.0196484830360379,0.18089420791808458,85,17,5,True,,0.3316393811831551,False
t+2,4-2. 사회적 가치관,0.0006369948825502326,0.0057540565296252625,0.9132281311359942,-0.011561060046621023,0.012835049811721488,-0.01998692720021848,0.008812576985454172,0.0375291298656792,-0.03866875585147805,-0.0013050985489589106,-0.02062392208276871,0.01031260473389838,0.06278668018835966,85,17,5,True,,0.23423896054181229,False
