지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,지역연도_전체계획예산_백만원,계획예산비중_pct,예산누락주의
인천,2016,3-3. 아동안전 수준,176.0,2,0,1094772.2,0.016076403839995205,False
인천,2017,3-3. 아동안전 수준,295.0,2,0,1161639.0,0.02539515288312462,False
인천,2018,3-3. 아동안전 수준,805.0,5,0,1453723.0,0.05537506113613116,False
인천,2019,3-3. 아동안전 수준,9424.0,7,0,2137311.0,0.44092787619583673,False
인천,2020,3-3. 아동안전 수준,8991.0,8,0,2761790.0,0.3255497340492941,False
인천,2021,3-3. 아동안전 수준,8823.0,10,0,3305518.2,0.26691730210409975,False
인천,2022,3-3. 아동안전 수준,11601.0,8,0,4451688.0,0.26059777774183635,False
인천,2023,3-3. 아동안전 수준,12997.0,7,0,4389696.0,0.29607972852789805,False
인천,2024,3-3. 아동안전 수준,20164.0,7,0,4721370.0,0.42707942821680994,False
인천,2016,4-1. 일·가정 양립 여건,0.0,1,0,1094772.2,0.0,False
인천,2017,4-1. 일·가정 양립 여건,0.0,0,0,1161639.0,0.0,False
인천,2018,4-1. 일·가정 양립 여건,304.0,9,2,1453723.0,0.020911824329669405,True
인천,2019,4-1. 일·가정 양립 여건,1530.0,12,0,2137311.0,0.07158527701396755,False
인천,2020,4-1. 일·가정 양립 여건,764.0,5,0,2761790.0,0.027663218419937793,False
인천,2021,4-1. 일·가정 양립 여건,1272.0,7,0,3305518.2,0.03848110713775528,False
인천,2022,4-1. 일·가정 양립 여건,1385.0,6,0,4451688.0,0.031111793998141832,False
인천,2023,4-1. 일·가정 양립 여건,2677.0,2,0,4389696.0,0.06098372187960169,False
인천,2024,4-1. 일·가정 양립 여건,2315.0,6,0,4721370.0,0.0490323783139216,False
인천,2016,4-2. 사회적 가치관,31.0,7,0,1094772.2,0.0028316393127264285,False
인천,2017,4-2. 사회적 가치관,66.0,7,0,1161639.0,0.0056816274246990674,False
인천,2018,4-2. 사회적 가치관,88.0,15,1,1453723.0,0.006053422832272723,True
인천,2019,4-2. 사회적 가치관,138.0,18,0,2137311.0,0.006456711260083348,False
인천,2020,4-2. 사회적 가치관,92.0,11,0,2761790.0,0.003331172898735965,False
인천,2021,4-2. 사회적 가치관,87.0,11,0,3305518.2,0.0026319625164974133,False
인천,2022,4-2. 사회적 가치관,88.0,11,1,4451688.0,0.001976778246813344,True
인천,2023,4-2. 사회적 가치관,93.0,10,0,4389696.0,0.002118597734330578,False
인천,2024,4-2. 사회적 가치관,45.0,10,0,4721370.0,0.0009531131853678064,False
인천,2016,지표체계 외,582366.0,36,0,1094772.2,53.195176128878686,False
인천,2017,지표체계 외,609186.0,32,0,1161639.0,52.44193764155646,False
인천,2018,지표체계 외,688859.0,38,0,1453723.0,47.38584998655177,False
인천,2019,지표체계 외,904999.0,50,0,2137311.0,42.34287850481282,False
인천,2020,지표체계 외,1112436.0,88,0,2761790.0,40.27952885628523,False
인천,2021,지표체계 외,1417767.2,128,0,3305518.2,42.89092100597116,False
인천,2022,지표체계 외,1602819.0,123,0,4451688.0,36.00474696339905,False
인천,2023,지표체계 외,1749936.0,114,0,4389696.0,39.86462843896252,False
인천,2024,지표체계 외,1962919.0,108,0,4721370.0,41.57519957131087,False
전남,2016,1-1. 고용여건,5363.0,1,0,1883686.0,0.28470774853133696,False
전남,2017,1-1. 고용여건,18649.0,2,0,1197280.0,1.5576139248964318,False
전남,2018,1-1. 고용여건,996.0,9,0,1647546.0,0.0604535472757665,False
전남,2019,1-1. 고용여건,21877.0,12,0,1540331.0,1.4202791477935586,False
전남,2020,1-1. 고용여건,33911.0,19,0,1840688.0,1.8423002703337015,False
전남,2021,1-1. 고용여건,28971.0,28,0,1966392.4200000002,1.473307143850768,False
전남,2022,1-1. 고용여건,6581.8,31,0,2258897.4,0.29137224205048,False
전남,2023,1-1. 고용여건,34682.0,43,0,2712169.0,1.2787551218231608,False
전남,2024,1-1. 고용여건,39105.0,39,0,2621833.0,1.4915137615553697,False
전남,2016,1-2. 주거안정성,7.5,1,0,1883686.0,0.0003981555312297273,False
전남,2017,1-2. 주거안정성,309.0,1,0,1197280.0,0.02580849926500067,False
전남,2018,1-2. 주거안정성,4128.0,7,0,1647546.0,0.25055446099835754,False
