연도,지역,예산단계,포함회계,자치단체수,포함회계수,세출예산총계액_원,세출예산순계액_원,세출예산총계액_백만원,세출예산순계액_백만원,총계순계차액_백만원,원자료단위,출처
2018,충북,당초예산,일반회계+기타특별회계+공기업특별회계,12,3,10856422302000,8016426191000,10856422.302,8016426.191,2839996.1109999996,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,14641842129000,11146370678000,14641842.129,11146370.678,3495471.4510000013,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,62361716444000,46970041034000,62361716.444,46970041.034,15391675.409999996,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,23008352129000,17016014614000,23008352.129,17016014.614,5992337.515000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,경북,당초예산,일반회계+기타특별회계+공기업특별회계,24,3,24047855302000,17575618782000,24047855.302,17575618.782,6472236.52,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,7404038099000,5328381528000,7404038.099,5328381.528,2075656.5710000005,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,대구,당초예산,일반회계+기타특별회계+공기업특별회계,9,3,12492622000000,8991961705000,12492622.0,8991961.705,3500660.295,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,대전,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,7156213850000,5043640457000,7156213.85,5043640.457,2112573.392999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,부산,당초예산,일반회계+기타특별회계+공기업특별회계,17,3,17435425232000,12543135277000,17435425.232,12543135.277,4892289.955,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,서울,당초예산,일반회계+기타특별회계+공기업특별회계,26,3,51497257566000,36427604106000,51497257.566,36427604.106,15069653.46,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,세종,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,1551612540000,1468577881000,1551612.54,1468577.881,83034.65899999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,울산,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,5949726035000,4457310384000,5949726.035,4457310.384,1492415.6510000005,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,인천,당초예산,일반회계+기타특별회계+공기업특별회계,11,3,15781219366000,11539820376000,15781219.366,11539820.376,4241398.99,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,전남,당초예산,일반회계+기타특별회계+공기업특별회계,23,3,19596257091000,14541430272000,19596257.091,14541430.272,5054826.818999998,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,전북,당초예산,일반회계+기타특별회계+공기업특별회계,15,3,16333595522000,11891403652000,16333595.522,11891403.652,4442191.869999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2019,제주,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,5285111397000,5116992495000,5285111.397,5116992.495,168118.90199999977,원,행정안전부 지방재정365 기능별 회계별 세출예산
