지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,소비자물가지수,기준연도,20_39세_인구_명,실질계획예산_2020년가격_백만원,log1p_실질계획예산,20_39세_1인당_실질예산_원,log1p_20_39세_1인당_실질예산,총액기준_재정대응지수_z,재정대응지수_z,재정대응점수_0_100,실질예산_전년증감액_백만원,실질예산_전년증감률,log실질예산_전년변화,log1인당실질예산_전년변화,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도
부산,2018,2341626.0,570,569,1,0,0.899,6,0,0,6,0,,,99.158,2020=100,899448,2361509.9134714296,14.67481218972259,2625510.2167901085,14.780786184300062,0.3740875157601915,-0.4228862942836723,50.92718075248743,-1205703.3963386058,-0.3379958784698561,-0.4124833540611892,-0.3905270176483224,0.976,1.095,0.119
부산,2019,2525413.0,556,556,0,0,0.827,6,4,2,0,0,0.08,,99.467,2020=100,871859,2538945.579941086,14.747259820662832,2912105.7188617494,14.88438733558796,0.45392409030018654,-0.2163454824776629,54.080471177183114,177435.6664696564,0.07513653254532615,0.07244763094024087,0.10360115128789715,0.899,0.976,0.07699999999999996
부산,2020,3494318.0,545,545,0,0,0.747,6,4,2,0,0,0.0,,100.0,2020=100,850001,3494318.0,15.066649064878954,4110957.5165205686,15.2291667749803,0.8058878863857502,0.4710119881765629,64.57446367970483,955372.420058914,0.3762870805923626,0.31938924421612214,0.34477943939234024,0.827,0.899,0.07200000000000006
부산,2021,3944822.1,685,685,0,0,0.728,8,7,1,0,0,0.0,,102.59,2020=100,820849,3845230.6267667413,15.162344400139126,4684455.5171130635,15.35976046204042,0.9113432017283665,0.7313655248586226,68.54932127359423,350912.6267667413,0.10042378134066254,0.0956953352601726,0.1305936870601201,0.747,0.827,0.07999999999999996
부산,2022,5106355.100000001,748,748,0,0,0.723,8,4,4,0,0,0.0,,108.06,2020=100,791825,4725481.306681474,15.368480189188775,5967835.451875697,15.601895016313907,1.13850280756003,1.2140886103092638,75.91912906035134,880250.6799147325,0.22892012608744117,0.20613578904964847,0.24213455427348762,0.728,0.747,0.019000000000000017
부산,2023,4317819.0,722,722,0,0,0.664,8,4,4,0,0,0.0,,111.62,2020=100,768246,3868320.1935137073,15.168331170761814,5035262.394485239,15.43197639547463,0.9179405638900953,0.8753362947913009,70.7473452200246,-857161.1131677665,-0.18139128218660083,-0.20014901842696098,-0.16991862083927778,0.723,0.728,0.0050000000000000044
부산,2024,4796613.0,683,683,0,0,0.683,8,6,2,0,0,0.0,,114.24,2020=100,747346,4198715.861344538,15.250289527372471,5618168.6412244635,15.541516482207605,1.0082578642876687,1.0937170575326167,74.08139800149961,330395.66783083044,0.08541063079132605,0.08195835661065765,0.10954008673297544,0.664,0.723,0.05899999999999994
서울,2016,4173074.0,103,102,1,0,0.94,5,4,1,0,0,0.0,,95.718,2020=100,3063675,4359758.87502873,15.287927539273864,1423048.7486527555,14.168312836863388,1.0497345820727042,-1.6439223620932086,32.285434808115895,,,,,,,
서울,2017,4761473.0,128,124,4,0,0.836,5,0,0,5,0,,,97.492,2020=100,3026304,4883962.7866901895,15.401467699502644,1613837.4686383752,14.294126041414692,1.174854718476682,-1.393099267167065,36.11478967801931,524203.91166145913,0.12023690453706681,0.11354016022878,0.12581320455130474,0.94,,
서울,2018,5912413.0,184,184,0,0,0.761,5,0,0,5,0,,,99.158,2020=100,2998560,5962618.245628189,15.601020413245534,1988493.8922776899,14.5028885749958,1.3947598402678116,-0.9769071435805146,42.46885901019498,1078655.4589379998,0.22085660887457204,0.1995527137428894,0.2087625335811083,0.836,0.94,0.10399999999999998
서울,2019,5907309.0,162,162,0,0,0.717,6,5,0,1,0,0.0,,99.467,2020=100,2966582,5938963.676395186,15.59704537924419,2001955.0028939657,14.509635262039374,1.3903793920153473,-0.9634568469220488,42.6742067634627,-23654.569233003072,-0.003967144676811474,-0.0039750340013444685,0.006746687043573729,0.761,0.836,0.07499999999999996
서울,2020,6677517.0,177,176,1,0,0.642,6,5,1,0,0,0.0,,100.0,2020=100,2935517,6677517.0,15.714256919582239,2274732.866476331,14.637373621755641,1.5195453530785206,-0.7087957337337454,46.56215725003892,738553.3236048138,0.12435727238747796,0.11721154033804915,0.12773835971626646,0.717,0.761,0.04400000000000004
서울,2021,7529092.0,228,228,0,0,0.626,8,7,1,0,0,0.0,,102.59,2020=100,2861556,7339011.599571108,15.808714868322443,2564692.6356049324,14.757349589143477,1.6236370806839797,-0.46960984252068366,50.21384513627055,661494.5995711079,0.09906296001509363,0.09445794874020486,0.11997596738783578,0.642,0.717,0.07499999999999996
서울,2022,7957659.899999999,227,227,0,0,0.593,8,8,0,0,0,0.0,,108.06,2020=100,2815291,7364112.437534703,15.812129225553058,2615755.3295679567,14.777063841031232,1.627399668666642,-0.43030721375230185,50.81388443057287,25100.837963595055,0.0034201932539610347,0.003414357230614229,0.01971425188775555,0.626,0.642,0.016000000000000014
서울,2023,8314712.0,230,230,0,0,0.552,8,6,2,0,0,0.01,,111.62,2020=100,2783216,7449123.812936749,15.82360710868145,2676444.7362104664,14.80000025444994,1.640048182635265,-0.3845808353431134,51.51199610125388,85011.37540204637,0.011544008340875545,0.011477883128392818,0.02293641341870689,0.593,0.626,0.03300000000000003
서울,2024,4872683.0,237,237,0,0,0.581,8,8,0,0,0,0.0,,114.24,2020=100,2750925,4265303.7464986,15.266024189227169,1550498.013031471,14.254087380973887,1.025597306416016,-1.4729209421993108,34.896139855926236,-3183820.0664381497,-0.4274086652860932,-0.5575829194542816,-0.5459128734760519,0.552,0.593,0.040999999999999925
세종,2016,97707.0,114,114,0,0,1.821,5,5,0,0,0,0.0,,95.718,2020=100,72474,102077.97906349902,11.533502097191407,1408477.234090833,14.158020412924516,-3.087605214571767,-1.664441493100534,31.97216607075252,,,,,,,
세종,2017,89445.0,102,102,0,0,1.668,5,0,0,5,0,,,97.492,2020=100,82673,91745.98941451607,11.426789952457655,1109745.4962867692,13.919642165481807,-3.205200945264277,-2.139675948815145,24.716688349004038,-10331.989648982955,-0.10121663598527753,-0.10671214473375201,-0.23837824744270897,1.821,,
세종,2018,104743.0,93,90,3,0,1.566,5,0,0,5,0,,,99.158,2020=100,92412,105632.42501865709,11.567730124968781,1143059.6136720025,13.9492199717051,-3.04988626564907,-2.080709189924375,25.61694295030891,13886.435604141021,0.15135741292625826,0.1409401725111259,0.029577806223292313,1.668,1.821,0.15300000000000002
세종,2019,129545.0,100,100,0,0,1.472,6,5,1,0,0,0.0,,99.467,2020=100,97804,130239.17480169302,11.777135523386058,1331634.4403265002,14.10191839917301,-2.8191235825516974,-1.7762873106435053,30.264598726474993,24606.749783035935,0.2329469363094696,0.20940539841727634,0.15269842746791085,1.566,1.668,0.10199999999999987
