지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,직전1년_출산율하락도,합계출산율,구조환경지수_전년도,인구1인당_실질예산_전년도,인구1인당_실질예산_전전년도
전북,2019,1-1. 고용여건,3307.0,3,0,87.068452,2024,3798.161014738151,908.1732783310416,1818917,2088.1442169918423,0.10699999999999998,0.971,33.85894673231954,205.1014604069974,2464.120411766674
전북,2020,1-1. 고용여건,1742.0,3,0,87.535014,2024,1990.060800127364,-47.60462254219203,1804104,1103.0743239454953,0.07300000000000006,0.909,35.05819993737266,2088.1442169918423,205.1014604069974
전북,2021,1-1. 고용여건,64140.4,42,0,89.802171,2024,71424.1084438816,3489.041522716817,1786855,39971.96663628644,0.061999999999999944,0.85,25.313380504572745,1103.0743239454953,2088.1442169918423
전북,2022,1-1. 고용여건,68859.4,42,0,94.590336,2024,72797.50015900144,1.9228685454280692,1769607,41137.665119431294,0.05900000000000005,0.817,47.86505723723836,39971.96663628644,1103.0743239454953
전북,2023,1-1. 고용여건,59234.0,40,0,97.706583,2024,60624.36959851518,-16.72190739228434,1754757,34548.58399112537,0.03300000000000003,0.78,33.040973014917476,41137.665119431294,39971.96663628644
전북,2024,1-1. 고용여건,41860.0,44,0,100.0,2024,41860.0,-30.951859331127395,1738690,24075.597144976964,0.03699999999999992,0.808,67.99693552348305,34548.58399112537,41137.665119431294
전북,2016,1-2. 주거안정성,2231.0,2,0,83.786765,2024,2662.7117063178175,,1864791,1427.887471742312,,1.251,,,
전북,2017,1-2. 주거안정성,2300.0,2,0,85.339636,2024,2695.113440605722,1.216869787706476,1854607,1453.1992171957306,,1.151,85.2941963436094,1427.887471742312,
전북,2018,1-2. 주거안정성,2914.0,3,0,86.797969,2024,3357.221411482566,24.566979664055832,1836832,1827.723717510674,0.09999999999999987,1.044,92.45000292516876,1453.1992171957306,1427.887471742312
전북,2019,1-2. 주거안정성,5467.0,4,0,87.068452,2024,6278.967725301927,87.02870486367782,1818917,3452.036417990446,0.10699999999999998,0.971,90.13797793082568,1827.723717510674,1453.1992171957306
전북,2020,1-2. 주거안정성,103446.0,6,0,87.535014,2024,118176.71040756333,1782.1041224874384,1804104,65504.37802231097,0.07300000000000006,0.909,88.57186392600019,3452.036417990446,1827.723717510674
전북,2021,1-2. 주거안정성,4242.0,8,0,89.802171,2024,4723.716534648143,-96.00283633013883,1786855,2643.5925324932036,0.061999999999999944,0.85,89.40775720472303,65504.37802231097,3452.036417990446
전북,2022,1-2. 주거안정성,13449.0,14,0,94.590336,2024,14218.154378899766,200.99508034850436,1769607,8034.639543638654,0.05900000000000005,0.817,82.97241336471453,2643.5925324932036,65504.37802231097
전북,2023,1-2. 주거안정성,27928.0,16,0,97.706583,2024,28583.539760058953,101.03551416263925,1754757,16289.172666106448,0.03300000000000003,0.78,87.79070800887051,8034.639543638654,2643.5925324932036
전북,2024,1-2. 주거안정성,26060.0,18,0,100.0,2024,26060.0,-8.828646770982528,1738690,14988.29578590778,0.03699999999999992,0.808,85.83690822458775,16289.172666106448,8034.639543638654
전북,2016,1-3. 경제적 여건,15603.0,24,2,83.786765,2024,18622.272861352267,,1864791,9986.252004300894,,1.251,,,
전북,2017,1-3. 경제적 여건,17367.0,24,0,85.339636,2024,20350.45005347808,9.280162550471417,1854607,10972.917741320982,,1.151,9.194892961388687,9986.252004300894,
전북,2018,1-3. 경제적 여건,19789.0,26,1,86.797969,2024,22798.920559996055,12.031530015718284,1836832,12412.088073376366,0.09999999999999987,1.044,11.763578718680602,10972.917741320982,9986.252004300894
전북,2019,1-3. 경제적 여건,116769.0,32,0,87.068452,2024,134111.72166010257,488.2371549441715,1818917,73731.63352703975,0.10699999999999998,0.971,18.21133058631292,12412.088073376366,10972.917741320982
전북,2020,1-3. 경제적 여건,130195.0,41,0,87.535014,2024,148734.76800951903,10.903630322842028,1804104,82442.45786801595,0.07300000000000006,0.909,24.515923215879596,73731.63352703975,12412.088073376366
전북,2021,1-3. 경제적 여건,144098.5,44,0,89.802171,2024,160462.15631022994,7.88476592101206,1786855,89801.44237234132,0.061999999999999944,0.85,36.96388760260443,82442.45786801595,73731.63352703975
전북,2022,1-3. 경제적 여건,203208.3,51,0,94.590336,2024,214829.87437532732,33.881956540572354,1769607,121399.76524467143,0.05900000000000005,0.817,47.00677678982668,89801.44237234132,82442.45786801595
전북,2023,1-3. 경제적 여건,259056.0,30,0,97.706583,2024,265136.68991985935,23.417048346191116,1754757,151095.9579701687,0.03300000000000003,0.78,56.70390711977544,121399.76524467143,89801.44237234132
전북,2024,1-3. 경제적 여건,302911.0,49,0,100.0,2024,302911.0,14.247107818822949,1738690,174217.9456947472,0.03699999999999992,0.808,65.14532641869135,151095.9579701687,121399.76524467143
전북,2016,2-1. 돌봄 여건,570128.0,54,0,83.786765,2024,680451.1428505444,,1864791,364894.05131757096,,1.251,,,
전북,2017,2-1. 돌봄 여건,597104.4,85,0,85.339636,2024,699680.0408194852,2.8259042799733125,1854607,377265.933332229,,1.151,57.62389456970619,364894.05131757096,
전북,2018,2-1. 돌봄 여건,585952.0,99,4,86.797969,2024,675075.703672283,-3.5165126503229893,1836832,367521.7459584126,0.09999999999999987,1.044,60.20299125831348,377265.933332229,364894.05131757096
전북,2019,2-1. 돌봄 여건,578414.0,90,0,87.068452,2024,664320.9873537202,-1.593112633154936,1818917,365228.8627538915,0.10699999999999998,0.971,61.53363622572945,367521.7459584126,377265.933332229
전북,2020,2-1. 돌봄 여건,468384.0,98,0,87.535014,2024,535081.8816342453,-19.454316238643997,1804104,296591.4834367893,0.07300000000000006,0.909,63.39526579859515,365228.8627538915,367521.7459584126
전북,2021,2-1. 돌봄 여건,421123.4,89,0,89.802171,2024,468945.6783845459,-12.360015451785875,1786855,262441.93198919104,0.061999999999999944,0.85,70.61454557578035,296591.4834367893,365228.8627538915
전북,2022,2-1. 돌봄 여건,599679.4,100,0,94.590336,2024,633975.3354930467,35.191636199102085,1769607,358257.70099973987,0.05900000000000005,0.817,73.48157830630365,262441.93198919104,296591.4834367893
전북,2023,2-1. 돌봄 여건,548536.0,104,0,97.706583,2024,561411.506940121,-11.445844103145175,1754757,319936.8955018393,0.03300000000000003,0.78,76.76889609791387,358257.70099973987,262441.93198919104
전북,2024,2-1. 돌봄 여건,578772.0,103,0,100.0,2024,578772.0,3.0922937711945986,1738690,332878.2014045057,0.03699999999999992,0.808,77.8448705660099,319936.8955018393,358257.70099973987
전북,2016,2-2. 여가 인프라,2294.0,6,2,83.786765,2024,2737.9025792438697,,1864791,1468.2088122711175,,1.251,,,
전북,2017,2-2. 여가 인프라,11278.0,2,0,85.339636,2024,13215.43016658754,382.6844558595385,1854607,7125.730770231937,,1.151,23.842047717866443,1468.2088122711175,
전북,2018,2-2. 여가 인프라,19347.2,16,0,86.797969,2024,22289.922475029343,68.66588672523702,1836832,12134.981574269908,0.09999999999999987,1.044,24.730505762868216,7125.730770231937,1468.2088122711175
