연도,세부영역,실질계획예산_2024년가격_백만원,예산결측_사업수,대영역,연도내_세부영역비중_pct,예산누락주의
2020,1-1. 고용여건,444932.8128284757,1,경제·고용·주거,1.8265769935322707,True
2020,1-2. 주거안정성,584848.2528374303,0,경제·고용·주거,2.4009700623096535,False
2020,1-3. 경제적 여건,3943209.513852366,6,경제·고용·주거,16.1880076519709,True
2020,2-1. 돌봄 여건,18114963.68755936,2,가족·생활,74.36712905039035,True
2020,2-2. 여가 인프라,299113.44961914327,2,가족·생활,1.2279466242491395,True
2020,2-3. 가사수행 격차,1188.096000076038,0,가족·생활,0.004877475333974102,False
2020,3-1. 의료서비스 여건,513497.3760328638,3,보건·안전,2.1080542191038645,True
2020,3-2. 산후조리 여건,274428.4704175634,0,보건·안전,1.1266076944255698,False
2020,3-3. 아동안전 수준,83050.1952053152,1,보건·안전,0.3409449056050473,True
2020,4-1. 일·가정 양립 여건,40688.40384260406,1,사회·문화,0.167037584596175,True
2020,4-2. 사회적 가치관,58911.28320377032,1,사회·문화,0.2418477384830543,True
2021,1-1. 고용여건,838252.5406874628,0,경제·고용·주거,3.454831067713162,False
2021,1-2. 주거안정성,1446448.3269563715,0,경제·고용·주거,5.961490571459879,False
2021,1-3. 경제적 여건,3312937.0558313117,0,경제·고용·주거,13.654164240859275,False
2021,2-1. 돌봄 여건,17655687.77841685,0,가족·생활,72.76735315194304,False
2021,2-2. 여가 인프라,262901.88463261095,0,가족·생활,1.083541718876499,False
2021,2-3. 가사수행 격차,1000.8666716977255,0,가족·생활,0.004125040013817507,False
2021,3-1. 의료서비스 여건,313626.92779442936,0,보건·안전,1.2926033638108756,False
2021,3-2. 산후조리 여건,270592.90136760724,0,보건·안전,1.1152399986533497,False
2021,3-3. 아동안전 수준,117055.02086358245,0,보건·안전,0.4824385290614909,False
2021,4-1. 일·가정 양립 여건,35003.05131821367,0,사회·문화,0.14426395780410833,False
2021,4-2. 사회적 가치관,9692.750078391757,0,사회·문화,0.03994835980448567,False
2022,1-1. 고용여건,837171.5689856521,1,경제·고용·주거,3.396021440816336,True
2022,1-2. 주거안정성,1915374.4204904824,0,경제·고용·주거,7.769796347788207,False
2022,1-3. 경제적 여건,5582530.016597045,6,경제·고용·주거,22.645766211739637,True
2022,2-1. 돌봄 여건,14376573.733705737,2,가족·생활,58.319171904389414,True
2022,2-2. 여가 인프라,330331.94849841745,1,가족·생활,1.340005348063235,True
2022,2-3. 가사수행 격차,1048.2043324172143,0,가족·생활,0.004252084661162737,False
2022,3-1. 의료서비스 여건,1142567.8834675036,4,보건·안전,4.634874347853401,True
2022,3-2. 산후조리 여건,287257.1464383,0,보건·안전,1.1652706141396736,False
2022,3-3. 아동안전 수준,136723.79808440476,0,보건·안전,0.5546257983020918,False
2022,4-1. 일·가정 양립 여건,27425.000372131042,5,사회·문화,0.11125065963599298,True
2022,4-2. 사회적 가치관,14535.84010950125,1,사회·문화,0.058965242610849275,True
2023,1-1. 고용여건,1010538.8702417319,0,경제·고용·주거,3.923610317725397,False
2023,1-2. 주거안정성,1009842.908947087,0,경제·고용·주거,3.9209081149731637,False
2023,1-3. 경제적 여건,7036368.265994933,0,경제·고용·주거,27.32004472145555,False
2023,2-1. 돌봄 여건,14712164.276587177,0,가족·생활,57.122789881283886,False
2023,2-2. 여가 인프라,398534.04759841005,0,가족·생활,1.5473846154457511,False
2023,2-3. 가사수행 격차,823.895356160393,0,가족·생활,0.0031989311993349404,False
2023,3-1. 의료서비스 여건,1180365.7078049695,0,보건·안전,4.58299547520123,False
2023,3-2. 산후조리 여건,285640.9378270858,0,보건·안전,1.1090555384129048,False
2023,3-3. 아동안전 수준,71698.34196330456,0,보건·안전,0.27838251706609923,False
2023,4-1. 일·가정 양립 여건,32746.002385530155,0,사회·문화,0.1271426133201508,False
2023,4-2. 사회적 가치관,16608.911602199823,0,사회·문화,0.06448727391653095,False
2024,1-1. 고용여건,794089.0,0,경제·고용·주거,2.8226671164891863,False
2024,1-2. 주거안정성,990207.0,0,경제·고용·주거,3.519787753535696,False
2024,1-3. 경제적 여건,8446583.0,3,경제·고용·주거,30.024206456450823,True
2024,2-1. 돌봄 여건,15830080.0,2,가족·생활,56.26956961674716,True
2024,2-2. 여가 인프라,331393.0,6,가족·생활,1.1779688721726416,True
2024,2-3. 가사수행 격차,1050.0,0,가족·생활,0.0037323278276284464,False
2024,3-1. 의료서비스 여건,1300752.0,0,보건·안전,4.623650368041292,False
2024,3-2. 산후조리 여건,313277.0,0,보건·안전,1.1135737760532922,False
2024,3-3. 아동안전 수준,77267.0,0,보건·안전,0.27465311834034967,False
2024,4-1. 일·가정 양립 여건,25178.0,0,사회·문화,0.08949766670859907,False
2024,4-2. 사회적 가치관,22701.0,3,사회·문화,0.08069292763332701,True
