region,year,pooled_index,missing_indicator_count,indicator_count,has_missing_indicators,pooled_rank,yearly_index,yearly_rank,score_diff_yearly_minus_pooled,abs_score_diff,rank_diff_yearly_minus_pooled,abs_rank_diff
광주,2019,46.934442237650515,0,28,False,4,54.20084803609478,4,7.266405798444268,7.266405798444268,0,0
광주,2020,52.33728230137443,0,28,False,2,58.471672298709045,2,6.134389997334615,6.134389997334615,0,0
광주,2021,54.533811257268525,0,28,False,2,59.01049678237572,2,4.476685525107193,4.476685525107193,0,0
광주,2022,59.10951985224238,0,28,False,3,58.25331522509301,3,-0.8562046271493671,0.8562046271493671,0,0
광주,2023,62.58616376323172,0,28,False,6,51.53280296240489,8,-11.05336080082683,11.05336080082683,2,2
광주,2024,64.91286833168596,0,28,False,5,53.165640563751296,9,-11.74722776793466,11.74722776793466,4,4
대구,2016,30.952573798901735,0,28,False,15,36.47882848162081,15,5.526254682719074,5.526254682719074,0,0
대구,2017,32.27555009963102,0,28,False,17,33.90082907788241,16,1.6252789782513943,1.6252789782513943,-1,1
대구,2018,31.81885545023873,0,28,False,17,29.63711707115252,17,-2.1817383790862053,2.1817383790862053,0,0
대구,2019,34.49783303166585,0,28,False,17,31.01869522484865,17,-3.4791378068171994,3.4791378068171994,0,0
대구,2020,39.33737108020927,0,28,False,17,34.35754828828188,17,-4.97982279192739,4.97982279192739,0,0
대구,2021,40.09583321806047,0,28,False,17,30.999768941198695,17,-9.096064276861776,9.096064276861776,0,0
대구,2022,44.57372362054575,0,28,False,15,32.34962202752151,17,-12.224101593024235,12.224101593024235,2,2
대구,2023,49.951856105830174,0,28,False,15,32.87099648554835,17,-17.08085962028182,17.08085962028182,2,2
대구,2024,50.77927753658112,0,28,False,17,33.35814553248558,17,-17.42113200409554,17.42113200409554,0,0
대전,2016,37.15270793587038,0,28,False,10,47.50973221213597,8,10.35702427626559,10.35702427626559,-2,2
대전,2017,41.10652601937191,0,28,False,9,50.80282375847602,6,9.69629773910411,9.69629773910411,-3,3
대전,2018,43.53183777862946,0,28,False,9,49.53072380757726,9,5.998886028947801,5.998886028947801,0,0
대전,2019,45.89714437395272,0,28,False,9,50.314089583539065,8,4.416945209586345,4.416945209586345,-1,1
대전,2020,50.58167308510965,0,28,False,8,54.275546714796185,6,3.693873629686536,3.693873629686536,-2,2
대전,2021,53.219675721291225,0,28,False,6,56.18072930647904,6,2.9610535851878197,2.9610535851878197,0,0
대전,2022,59.706943996423355,0,28,False,1,60.56449668492157,1,0.8575526884982168,0.8575526884982168,0,0
대전,2023,66.20172233418239,0,28,False,1,61.847712150604366,1,-4.354010183578026,4.354010183578026,0,0
대전,2024,65.57522000413671,0,28,False,4,57.81413443611976,3,-7.761085568016952,7.761085568016952,-1,1
부산,2016,34.88165044136678,0,28,False,11,43.47692517919192,12,8.595274737825136,8.595274737825136,1,1
부산,2017,36.95927206087507,0,28,False,12,42.20447507804858,12,5.245203017173509,5.245203017173509,0,0
부산,2018,38.39022151569735,0,28,False,12,40.82116932261637,13,2.430947806919022,2.430947806919022,1,1
부산,2019,40.54151927454714,0,28,False,11,41.28261057353692,12,0.7410912989897795,0.7410912989897795,1,1
부산,2020,43.65580796978562,0,28,False,12,41.83172178462125,13,-1.8240861851643757,1.8240861851643757,1,1
부산,2021,44.13915702423158,0,28,False,13,39.32493639177898,14,-4.814220632452603,4.814220632452603,1,1
부산,2022,45.002026692512096,0,28,False,14,34.947817827464846,16,-10.05420886504725,10.05420886504725,2,2
부산,2023,52.1209623884902,0,28,False,13,39.25021810470253,13,-12.870744283787666,12.870744283787666,0,0
부산,2024,54.03459602749829,0,28,False,12,41.634484626111295,11,-12.400111401386994,12.400111401386994,-1,1
서울,2016,33.43294584457399,0,28,False,13,46.97899744334066,9,13.546051598766669,13.546051598766669,-4,4
서울,2017,36.676858477241495,0,28,False,13,49.542477717409966,8,12.86561924016847,12.86561924016847,-5,5
서울,2018,37.2230517756142,0,28,False,13,44.8139865706211,10,7.590934795006895,7.590934795006895,-3,3
서울,2019,38.91046118988995,0,28,False,13,43.976010365596665,10,5.065549175706714,5.065549175706714,-3,3
서울,2020,42.017443645485166,0,28,False,13,44.44204492808511,10,2.4246012825999443,2.4246012825999443,-3,3
서울,2021,40.872396949299606,0,28,False,15,40.87949441955955,11,0.0070974702599428,0.0070974702599428,-4,4
서울,2022,44.30318434361841,0,28,False,17,39.753577113732746,13,-4.549607229885666,4.549607229885666,-4,4
서울,2023,50.2218014303592,0,28,False,14,41.545275734439905,10,-8.676525695919295,8.676525695919295,-4,4
서울,2024,52.298554115635234,0,28,False,14,41.08376427223117,12,-11.21478984340407,11.21478984340407,-2,2
세종,2016,40.7116609259072,0,28,False,4,57.673213986688765,2,16.96155306078156,16.96155306078156,-2,2
세종,2017,41.58791756928169,0,28,False,7,56.552453598067565,2,14.964536028785872,14.964536028785872,-5,5
세종,2018,49.181388553155976,0,28,False,1,62.3322203812648,1,13.15083182810882,13.15083182810882,0,0
세종,2019,50.10263186282287,0,28,False,1,61.50165895224223,1,11.399027089419365,11.399027089419365,0,0
세종,2020,52.50534778381768,0,28,False,1,59.368010398196624,1,6.862662614378948,6.862662614378948,0,0
세종,2021,53.884087443425585,0,28,False,5,60.895908964724,1,7.011821521298415,7.011821521298415,-4,4
세종,2022,55.19640820924895,0,28,False,9,55.11822378044972,7,-0.0781844287992328,0.0781844287992328,-2,2
세종,2023,61.21467633362667,0,28,False,8,57.836710155980825,3,-3.3779661776458454,3.3779661776458454,-5,5
세종,2024,63.47843317105569,0,28,False,8,56.75582073752541,5,-6.72261243353028,6.72261243353028,-3,3
울산,2016,28.74006876154635,0,28,False,17,32.19407731307939,17,3.4540085515330397,3.4540085515330397,0,0
울산,2017,32.43221669308283,0,28,False,16,33.859453988018416,17,1.427237294935587,1.427237294935587,1,1
울산,2018,32.286194463729494,0,28,False,16,31.135656804241815,16,-1.1505376594876786,1.1505376594876786,0,0
울산,2019,35.247969205521706,0,28,False,16,32.51000788076352,16,-2.7379613247581887,2.7379613247581887,0,0
울산,2020,39.70837310523038,0,28,False,16,34.57320518749652,16,-5.13516791773386,5.13516791773386,0,0
울산,2021,44.22919676484187,0,28,False,12,40.006875411323136,13,-4.222321353518737,4.222321353518737,1,1
울산,2022,48.79104918649934,0,28,False,12,41.35214593371606,11,-7.438903252783284,7.438903252783284,-1,1
울산,2023,53.90353796775017,0,28,False,11,39.79335342950214,12,-14.110184538248028,14.110184538248028,1,1
울산,2024,53.14066712406827,0,28,False,13,36.422769091898154,15,-16.71789803217012,16.71789803217012,2,2
인천,2016,29.975678660102716,0,28,False,16,34.97691404129019,16,5.0012353811874775,5.0012353811874775,0,0
인천,2017,32.78266495147887,0,28,False,15,34.9325354103363,15,2.1498704588574284,2.1498704588574284,0,0
인천,2018,35.186959753143576,0,28,False,15,36.15819945902793,15,0.9712397058843508,0.9712397058843508,0,0
인천,2019,38.188504853460344,0,28,False,14,37.901839561467355,15,-0.286665291992989,0.286665291992989,1,1
인천,2020,41.394160698684416,0,28,False,14,38.48317789999061,15,-2.9109827986938086,2.9109827986938086,1,1
인천,2021,42.23860541651466,0,28,False,14,36.8819681772978,15,-5.356637239216859,5.356637239216859,1,1
인천,2022,45.86794538306417,0,28,False,13,36.72389932219552,14,-9.144046060868646,9.144046060868646,1,1
인천,2023,49.207294551671815,0,28,False,17,34.21545910582294,16,-14.991835445848878,14.991835445848878,-1,1
인천,2024,51.47608005312842,0,28,False,15,36.51495875100341,14,-14.961121302125008,14.961121302125008,-1,1
전남,2016,41.63795823201863,0,28,False,2,52.32584338584361,3,10.68788515382498,10.68788515382498,1,1
전남,2017,43.46405328646736,0,28,False,4,50.35642186829149,7,6.8923685818241225,6.8923685818241225,3,3
전남,2018,45.193816685148334,0,28,False,6,51.3745599404367,7,6.1807432552883625,6.1807432552883625,1,1
전남,2019,48.3382353817759,0,28,False,3,53.97833157947855,5,5.640096197702647,5.640096197702647,2,2
전남,2020,52.27581038014088,0,28,False,3,54.63827514858902,5,2.3624647684481346,2.3624647684481346,2,2
전남,2021,54.50681738270823,0,28,False,3,54.826474775168045,7,0.3196573924598169,0.3196573924598169,4,4
전남,2022,58.67049375053742,0,28,False,4,55.4712282636056,6,-3.1992654869318145,3.1992654869318145,2,2
전남,2023,64.22284409332372,0,28,False,4,55.45307501037455,5,-8.769769082949168,8.769769082949168,1,1
전남,2024,66.89480367531868,0,28,False,3,57.61738018120241,4,-9.277423494116276,9.277423494116276,1,1
전북,2016,40.95898389556696,0,28,False,3,51.47473218221826,5,10.515748286651302,10.515748286651302,2,2
전북,2017,44.130221921632845,0,28,False,3,52.53943975342245,5,8.409217831789604,8.409217831789604,2,2
전북,2018,45.59954384257217,0,28,False,4,52.077695418416184,5,6.4781515758440165,6.4781515758440165,1,1
전북,2019,46.72110437292698,0,28,False,5,50.463032301828406,7,3.7419279289014256,3.7419279289014256,2,2
전북,2020,51.7517281959647,0,28,False,4,53.721784580583424,7,1.9700563846187225,1.9700563846187225,3,3
전북,2021,55.485964841538205,0,28,False,1,57.37404944409947,5,1.888084602561264,1.888084602561264,4,4
전북,2022,59.495250619370914,0,28,False,2,57.07235795221063,4,-2.4228926671602835,2.4228926671602835,2,2
전북,2023,65.77737377507582,0,28,False,3,57.28222844741366,4,-8.495145327662158,8.495145327662158,1,1
전북,2024,67.4256236360656,0,28,False,2,58.73241819643665,2,-8.693205439628947,8.693205439628947,0,0
제주,2016,43.63057296627278,0,28,False,1,61.54078243888682,1,17.910209472614042,17.910209472614042,0,0
제주,2017,46.12625137270536,0,28,False,1,61.11708043602926,1,14.9908290633239,14.9908290633239,0,0
제주,2018,45.833093966266226,0,28,False,3,56.41821833661568,2,10.585124370349456,10.585124370349456,-1,1
제주,2019,46.614590243787525,0,28,False,6,54.912762539437075,3,8.29817229564955,8.29817229564955,-3,3
