region,year,category,subcategory,subcategory_contribution,subcategory_weight_total,subcategory_score
충남,2020,가족·생활,돌봄여건,10.158039148039856,0.1693386773547093,59.986527039904026
충남,2021,가족·생활,돌봄여건,10.435252860448534,0.1693386773547093,61.62356422915764
충남,2022,가족·생활,돌봄여건,10.837669442054697,0.1693386773547093,63.999965107518285
충남,2023,가족·생활,돌봄여건,11.15915439366554,0.1693386773547093,65.89843837206043
충남,2024,가족·생활,돌봄여건,11.42256723702843,0.1693386773547093,67.45397693819157
충북,2016,가족·생활,돌봄여건,8.210836895042107,0.1693386773547093,48.487664031077074
충북,2017,가족·생활,돌봄여건,8.853646310653417,0.1693386773547093,52.283662828592384
충북,2018,가족·생활,돌봄여건,8.597323932051577,0.1693386773547093,50.76999576442294
충북,2019,가족·생활,돌봄여건,9.25285066366067,0.1693386773547093,54.64109445167664
충북,2020,가족·생활,돌봄여건,10.304926131475764,0.1693386773547093,60.8539424805492
충북,2021,가족·생활,돌봄여건,10.808399221058728,0.1693386773547093,63.827114926725514
충북,2022,가족·생활,돌봄여건,11.205142611938982,0.1693386773547093,66.17001376754502
충북,2023,가족·생활,돌봄여건,11.752503173668172,0.1693386773547093,69.40235601964994
충북,2024,가족·생활,돌봄여건,11.760916533433283,0.1693386773547093,69.45203964713859
강원,2016,보건·안전,아동안전 수준,0.2483434697495888,0.0430861723446893,5.763878670002088
강원,2017,보건·안전,아동안전 수준,1.0748410022336208,0.0430861723446893,24.946309772771023
강원,2018,보건·안전,아동안전 수준,2.0078757575196686,0.0430861723446893,46.601395488479774
강원,2019,보건·안전,아동안전 수준,2.1448230683349174,0.0430861723446893,49.779847027866246
강원,2020,보건·안전,아동안전 수준,2.2948979203243156,0.0430861723446893,53.26297963915507
강원,2021,보건·안전,아동안전 수준,2.556419741809137,0.0430861723446893,59.332718658733015
강원,2022,보건·안전,아동안전 수준,2.522663796403391,0.0430861723446893,58.54926671652524
강원,2023,보건·안전,아동안전 수준,2.706052975804735,0.0430861723446893,62.80560162449132
강원,2024,보건·안전,아동안전 수준,2.3044574099512065,0.0430861723446893,53.48484872398384
경기,2016,보건·안전,아동안전 수준,1.1710839176152898,0.0430861723446893,27.18004069255953
경기,2017,보건·안전,아동안전 수준,1.679886015351567,0.0430861723446893,38.988982402810805
경기,2018,보건·안전,아동안전 수준,2.123354689570855,0.0430861723446893,49.28158093469103
경기,2019,보건·안전,아동안전 수준,2.5382085016085325,0.0430861723446893,58.91004847919341
경기,2020,보건·안전,아동안전 수준,3.199333060781587,0.0430861723446893,74.25428824790757
경기,2021,보건·안전,아동안전 수준,3.035099421325521,0.0430861723446893,70.4425400577412
