지역,대분류,중분류,원본_소계값,leaf_합계,결과,차이
강원,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),15674.0,15674.0,일치,0.0
강원,Ⅰ. 공통사업,"4.인구구조
변화에 대한
적응(공통)",52066.0,52066.0,일치,0.0
강원,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),392424.0,392424.0,일치,0.0
강원,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),190841.0,190841.0,일치,0.0
강원,"Ⅱ. 지자체
자체사업","3. 모두의 역량이 고루 발휘되는
사회(자체)",29306.0,29306.0,일치,0.0
강원,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),72977.0,72977.0,일치,0.0
충북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),570612.0,570612.0,일치,0.0
충북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1077848.0,1077848.0,일치,0.0
충북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),147332.0,147332.0,일치,0.0
충북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),97929.0,97929.0,일치,0.0
충북,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),121958.0,121959.0,불일치,1.0
충북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인 고령사회
구축(자체)",36615.0,36616.0,불일치,1.0
충북,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),40196.0,40196.0,일치,0.0
충북,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),116980.0,116979.0,불일치,-1.0
충남,Ⅰ.  공통사업,1. 함께 일하고 함께 돌보는 사회(공통),522929.0,411451.0,불일치,-111478.0
충남,Ⅰ.  공통사업,"2. 건강하고 능동적인
고령사회(공통)",617588.0,21136.0,불일치,-596452.0
충남,Ⅰ.  공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),19928.0,,불일치,
충남,Ⅰ.  공통사업,4.인구구조 변화에 대한 적응(공통),17795.0,1339.0,불일치,-16456.0
충남,"Ⅱ. 지자체
자체사업","1. 함께 일하고
함께 돌보는
사회(자체)",165311.0,114673.0,불일치,-50638.0
충남,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",65201.0,37322.0,불일치,-27879.0
충남,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),509723.0,473824.0,불일치,-35899.0
충남,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),12798.0,1109.0,불일치,-11689.0
전북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),712277.0,712277.0,일치,0.0
전북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1643044.0,1643044.0,일치,0.0
전북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),14568.0,14568.0,일치,0.0
전북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),65109.0,65109.0,일치,0.0
전북,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),164659.0,164660.0,불일치,1.0
전북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인 고령사회
구축(자체)",146533.0,146533.0,일치,0.0
전북,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루 발휘되는
사회(자체)",104803.0,104804.0,불일치,1.0
전북,Ⅱ. 지자체 자체사업,"4.인구구조
변화에 대한
적응(자체)",11749.0,11750.0,불일치,1.0
전남,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),3170.0,3176.0,불일치,6.0
전남,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1887302.0,1887302.0,일치,0.0
전남,Ⅰ. 공통사업,"3. 모두의 역량이
고루 발휘되는 사회(공통)",3710.0,3710.0,일치,0.0
전남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),1010.0,1010.0,일치,0.0
전남,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),145120.0,145121.0,불일치,1.0
전남,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),200753.0,201103.0,불일치,350.0
