지역,지표_id,연도,원본파일,원본행번호,입력값,최종값,절대차,허용오차,결과
부산,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,75,1.1363393866968268,1.1363393866968268,0.0,1e-12,PASS
부산,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,75,1.159278482089679,1.159278482089679,0.0,1e-12,PASS
부산,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,75,1.275018214545922,1.275018214545922,0.0,1e-12,PASS
부산,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,75,1.3433379003253982,1.3433379003253982,0.0,1e-12,PASS
부산,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,75,1.376576769597472,1.376576769597472,0.0,1e-12,PASS
부산,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,75,1.497995329779266,1.497995329779266,0.0,1e-12,PASS
부산,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,75,1.605025628635038,1.605025628635038,0.0,1e-12,PASS
서울,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,74,0.7720452485650029,0.7720452485650029,0.0,1e-12,PASS
서울,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,74,0.8543714389323774,0.8543714389323774,0.0,1e-12,PASS
서울,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,74,0.8683117620064096,0.8683117620064096,0.0,1e-12,PASS
서울,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,74,0.9922684143975444,0.9922684143975444,0.0,1e-12,PASS
서울,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,74,1.1843043900733037,1.1843043900733037,0.0,1e-12,PASS
서울,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,74,1.3812886322797784,1.3812886322797784,0.0,1e-12,PASS
서울,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,74,1.4428306884897402,1.4428306884897402,0.0,1e-12,PASS
서울,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,74,1.5330568073120332,1.5330568073120332,0.0,1e-12,PASS
서울,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,74,1.5857553859048998,1.5857553859048998,0.0,1e-12,PASS
세종,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,81,0.5144253440219488,0.5144253440219488,0.0,1e-12,PASS
세종,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,81,0.4356349379220213,0.4356349379220213,0.0,1e-12,PASS
세종,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,81,0.4383904806638484,0.4383904806638484,0.0,1e-12,PASS
세종,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,81,0.4614408490511622,0.4614408490511622,0.0,1e-12,PASS
세종,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,81,0.4972513052846763,0.4972513052846763,0.0,1e-12,PASS
